"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"4358",846,"terasort","IB","SSD",32,10,1,65536,"None",0,"Local 1"
"2495",1354,"kmeans","IB","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"3667",3375,"sort","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"81",2914,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"3546",1010,"terasort","IB","SSD",12,20,3,131072,"None",64,"Local 1"
"812",783,"sort","ETH","RL2",10,10,3,65536,"ZLIB",64,"Azure L"
"696",4159,"dfsioe_read","ETH","RL1",8,10,1,65536,"None",256,"Azure L"
"3494",1094,"terasort","ETH","SSD",12,10,1,4096,"None",64,"Local 1"
"3922",1204,"terasort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"3187",4518,"terasort","IB","HDD",12,5,3,65536,"None",256,"Local 1"
"8",4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"1141",2549,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L"
"2380",1181,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"1837",1270,"wordcount","ETH","RL3",8,10,1,65536,"None",128,"Azure L"
"364",746,"sort","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"2770",1116,"bayes","IB","HDD",12,50,1,131072,"None",128,"Local 1"
"843",2602,"kmeans","ETH","RL2",10,10,3,65536,"None",64,"Azure L"
"3566",979,"terasort","IB","SSD",12,10,3,32768,"None",64,"Local 1"
"1322",4626,"dfsioe_write","ETH","RL3",10,10,3,65536,"Snappy",32,"Azure L"
"3336",666,"wordcount","ETH","SSD",12,20,3,4096,"None",64,"Local 1"
"540",2711,"kmeans","ETH","RL1",10,10,1,65536,"BZIP2",32,"Azure L"
"823",2993,"pagerank","ETH","RL2",10,10,3,65536,"None",128,"Azure L"
"3519",1064,"terasort","ETH","SSD",12,5,1,32768,"None",256,"Local 1"
"237",2653,"pagerank","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"452",2982,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"3870",3341,"terasort","IB","HDD",24,10,3,65536,"None",64,"Local 1"
"2089",6750,"terasort","ETH","R1",8,10,3,65536,"BZIP2",64,"Azure L"
"2146",2023,"terasort","ETH","RL2",8,10,1,65536,"None",64,"Azure L"
"2665",1133,"bayes","ETH","HDD",12,10,3,4096,"None",32,"Local 1"
"1424",4678,"dfsioe_write","ETH","RL3",8,10,3,65536,"Snappy",256,"Azure L"
"480",3008,"kmeans","ETH","RL1",8,10,2,65536,"None",32,"Azure L"
"3040",1244,"kmeans","ETH","SSD",12,50,3,65536,"None",64,"Local 1"
"110",2826,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"1847",3107,"terasort","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"3340",2077,"pagerank","ETH","SSD",12,20,3,4096,"None",256,"Local 1"
"1721",2809,"pagerank","ETH","RL3",10,10,1,65536,"None",64,"Azure L"
"3251",3811,"terasort","IB","HDD",12,20,1,131072,"None",256,"Local 1"
"2899",2711,"sort","IB","HDD",12,10,1,4096,"None",64,"Local 1"
"3879",5125,"terasort","IB","HDD",12,10,2,65536,"ZLIB",64,"Local 1"
"1415",823,"sort","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"3157",4813,"terasort","IB","HDD",12,20,3,65536,"None",32,"Local 1"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"4233",3503,"dfsioe_read","ETH","SSD",12,10,1,65536,"Snappy",0,"Local 1"
"1228",2713,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"3903",1025,"terasort","ETH","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
