"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"3754",864,"sort","ETH","SSD",24,10,3,65536,"None",64,"Local 1"
"2435",6616,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"3316",1152,"bayes","ETH","SSD",12,20,3,65536,"None",256,"Local 1"
"1914",2876,"terasort","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L"
"920",1287,"wordcount","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"3327",1089,"bayes","ETH","SSD",12,20,3,65536,"None",32,"Local 1"
"447",2751,"pagerank","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L"
"2231",433,"dfsioe_write","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"1269",4070,"dfsioe_read","ETH","RL2",8,10,1,65536,"ZLIB",64,"Azure L"
"957",3008,"kmeans","ETH","RL2",8,10,3,65536,"None",32,"Azure L"
"1688",2543,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L"
"475",2553,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",32,"Azure L"
"1686",768,"sort","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L"
"1800",672,"sort","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L"
"3107",5162,"terasort","ETH","HDD",12,20,3,65536,"None",256,"Local 1"
"2510",1293,"dfsioe_write","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"2342",1283,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"983",3006,"dfsioe_read","ETH","RL2",10,10,2,65536,"Snappy",32,"Azure L"
"3983",983,"kmeans","IB","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"701",1275,"dfsioe_write","ETH","RL1",8,10,1,65536,"None",128,"Azure L"
"292",726,"sort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"1955",2736,"terasort","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L"
"2479",2422,"sort","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"519",2818,"pagerank","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L"
"3684",2307,"sort","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"3807",519,"dfsioe_read","IB","SSD",16,10,3,65536,"ZLIB",64,"Local 1"
