"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"378",2648,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"987",2743,"kmeans","ETH","RL2",10,10,2,65536,"Snappy",32,"Azure L"
"957",3008,"kmeans","ETH","RL2",8,10,3,65536,"None",32,"Azure L"
"906",2650,"pagerank","ETH","RL2",8,10,3,65536,"ZLIB",256,"Azure L"
"408",876,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L"
"2903",2244,"pagerank","IB","HDD",12,10,1,4096,"None",256,"Local 1"
"2180",609,"wordcount","IB","SSD",12,10,1,65536,"Snappy",128,"Local 1"
"3125",4838,"terasort","ETH","HDD",12,5,1,65536,"None",32,"Local 1"
"3348",591,"wordcount","ETH","SSD",12,20,3,4096,"None",128,"Local 1"
"2600",1133,"bayes","ETH","HDD",12,20,3,131072,"None",128,"Local 1"
"750",2842,"dfsioe_read","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L"
"2296",1099,"bayes","IB","SSD",12,10,1,65536,"None",32,"Local 1"
"206",2921,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"3692",2600,"dfsioe_read","ETH","HDD",16,10,1,65536,"None",64,"Local 1"
"2753",1021,"wordcount","IB","HDD",12,50,1,4096,"None",128,"Local 1"
"1417",2742,"kmeans","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"943",748,"sort","ETH","RL2",8,10,3,65536,"None",128,"Azure L"
"1160",1302,"dfsioe_write","ETH","RL2",10,10,1,65536,"None",128,"Azure L"
"3992",1138,"kmeans","IB","SSD",16,10,1,65536,"None",64,"Local 1"
"2610",1109,"bayes","ETH","HDD",12,20,3,32768,"None",64,"Local 1"
"3512",1096,"terasort","ETH","SSD",12,5,1,4096,"None",128,"Local 1"
"3564",980,"terasort","IB","SSD",12,10,3,131072,"None",128,"Local 1"
"3106",4991,"terasort","ETH","HDD",12,20,3,65536,"None",64,"Local 1"
"2485",2149,"pagerank","IB","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"4058",594,"wordcount","IB","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"3958",1183,"kmeans","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"827",3001,"dfsioe_read","ETH","RL2",10,10,3,65536,"None",64,"Azure L"
"2370",1470,"kmeans","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"3361",991,"terasort","ETH","SSD",12,20,3,131072,"None",64,"Local 1"
"884",1262,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",128,"Azure L"
"4281",723,"hivebench_agregation","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"3601",985,"terasort","IB","SSD",12,20,1,65536,"None",64,"Local 1"
"2405",1478,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",32,"Local 1"
"634",2772,"kmeans","ETH","RL1",8,10,1,65536,"Snappy",64,"Azure L"
"3036",1095,"bayes","ETH","SSD",12,50,3,65536,"None",64,"Local 1"
"2176",4711,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L"
"915",2638,"kmeans","ETH","RL2",8,10,3,65536,"ZLIB",128,"Azure L"
"781",2817,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"2747",1953,"sort","IB","HDD",12,50,1,4096,"None",256,"Local 1"
"686",594,"sort","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L"
"1269",4070,"dfsioe_read","ETH","RL2",8,10,1,65536,"ZLIB",64,"Azure L"
"3625",970,"terasort","IB","SSD",12,10,1,131072,"None",64,"Local 1"
"3342",557,"wordcount","ETH","SSD",12,20,3,4096,"None",256,"Local 1"
"3560",1030,"terasort","IB","SSD",12,10,3,4096,"None",128,"Local 1"
"766",2549,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",128,"Azure L"
"3881",4048,"terasort","IB","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"2581",6459,"dfsioe_read","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"2366",1103,"bayes","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"3272",5080,"terasort","IB","HDD",12,5,1,65536,"None",256,"Local 1"
"585",701,"sort","ETH","RL1",10,10,1,65536,"None",128,"Azure L"
"2328",1268,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2714",1482,"kmeans","ETH","HDD",12,5,3,65536,"None",64,"Local 1"
"3797",672,"sort","ETH","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"3194",4368,"terasort","IB","HDD",12,5,3,131072,"None",64,"Local 1"
"3321",1013,"terasort","ETH","SSD",12,20,3,65536,"None",256,"Local 1"
"685",2782,"pagerank","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L"
"3183",6401,"terasort","IB","HDD",12,10,3,32768,"None",256,"Local 1"
"2667",2487,"sort","ETH","HDD",12,10,3,4096,"None",32,"Local 1"
"3845",483,"sort","IB","SSD",16,10,1,65536,"None",64,"Local 1"
