"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2335",1454,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",32,"Local 1"
"398",2729,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L"
"2768",1408,"wordcount","IB","HDD",12,50,1,131072,"None",256,"Local 1"
"1174",2899,"pagerank","ETH","RL2",10,10,1,65536,"None",32,"Azure L"
"1998",2690,"terasort","ETH","RL2",8,10,2,65536,"None",64,"Azure L"
"1059",2582,"kmeans","ETH","RL2",10,10,2,65536,"None",256,"Azure L"
"3212",5507,"terasort","IB","HDD",12,50,1,131072,"None",128,"Local 1"
"1896",2953,"terasort","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L"
"2383",987,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"1318",2827,"pagerank","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L"
"2064",2423,"terasort","ETH","RL3",10,10,1,65536,"ZLIB",256,"Azure L"
"3862",5266,"terasort","ETH","HDD",12,10,2,65536,"None",64,"Local 1"
"2971",1085,"bayes","IB","HDD",12,5,1,65536,"None",32,"Local 1"
"473",1290,"wordcount","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"3004",1241,"wordcount","IB","HDD",12,5,1,131072,"None",256,"Local 1"
"1354",2894,"pagerank","ETH","RL3",10,10,3,65536,"BZIP2",32,"Azure L"
"4238",970,"terasort","IB","SSD",12,10,1,65536,"Snappy",0,"Local 1"
"2250",611,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1"
"3445",1009,"terasort","ETH","SSD",12,5,3,65536,"None",256,"Local 1"
"1490",4410,"dfsioe_write","ETH","RL3",8,10,3,65536,"ZLIB",128,"Azure L"
"2854",2794,"sort","IB","HDD",12,20,1,131072,"None",32,"Local 1"
"4125",1359,"dfsioe_write","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"1463",765,"sort","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L"
"834",2817,"pagerank","ETH","RL2",10,10,3,65536,"None",32,"Azure L"
"1996",2578,"terasort","ETH","RL2",8,10,2,65536,"None",256,"Azure L"
"2864",2660,"sort","IB","HDD",12,20,1,32768,"None",256,"Local 1"
"1903",2811,"terasort","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"3406",664,"wordcount","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"1528",747,"sort","ETH","RL3",8,10,3,65536,"None",32,"Azure L"
