"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1277",695,"sort","ETH","RL2",8,10,1,65536,"None",256,"Azure L"
"2683",951,"wordcount","ETH","HDD",12,10,3,131072,"None",128,"Local 1"
"1761",2661,"dfsioe_write","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"4195",1971,"sort","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"743",4811,"dfsioe_write","ETH","RL2",10,10,3,65536,"Snappy",32,"Azure L"
"2303",1111,"bayes","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"3645",928,"terasort","IB","SSD",12,5,1,32768,"None",64,"Local 1"
"2652",2669,"sort","ETH","HDD",12,10,3,4096,"None",64,"Local 1"
"4087",4664,"terasort","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"3553",949,"terasort","IB","SSD",12,20,3,32768,"None",32,"Local 1"
"1125",3921,"dfsioe_read","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"2921",1250,"kmeans","IB","HDD",12,10,1,131072,"None",64,"Local 1"
"1671",2963,"dfsioe_write","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L"
"3300",1017,"terasort","ETH","SSD",12,50,3,32768,"None",256,"Local 1"
"4193",1148,"kmeans","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"1432",2686,"pagerank","ETH","RL3",8,10,3,65536,"Snappy",128,"Azure L"
"1674",778,"sort","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L"
"80",2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"1864",2942,"terasort","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"2929",2316,"sort","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"2344",6202,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"2833",1126,"bayes","IB","HDD",12,20,1,4096,"None",32,"Local 1"
"3682",1201,"dfsioe_write","ETH","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"4235",536,"dfsioe_write","IB","SSD",12,10,1,65536,"Snappy",0,"Local 1"
"3550",976,"terasort","IB","SSD",12,20,3,32768,"None",64,"Local 1"
"4081",481,"wordcount","IB","SSD",24,10,1,65536,"None",64,"Local 1"
