"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2515",845,"wordcount","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"3179",4346,"terasort","IB","HDD",12,10,3,131072,"None",256,"Local 1"
"4333",658,"terasort","IB","SSD",24,5,1,65536,"None",0,"Local 1"
"1358",4679,"dfsioe_write","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L"
"2180",609,"wordcount","IB","SSD",12,10,1,65536,"Snappy",128,"Local 1"
"1118",1338,"dfsioe_write","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L"
"1339",2575,"kmeans","ETH","RL3",10,10,3,65536,"BZIP2",256,"Azure L"
"202",675,"sort","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"915",2638,"kmeans","ETH","RL2",8,10,3,65536,"ZLIB",128,"Azure L"
"3162",4624,"terasort","IB","HDD",12,20,3,131072,"None",64,"Local 1"
"740",761,"sort","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L"
"3906",684,"terasort","IB","SSD",24,10,3,65536,"None",64,"Local 1"
"4198",6335,"dfsioe_read","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"3109",5251,"terasort","ETH","HDD",12,20,3,65536,"None",32,"Local 1"
"2927",1113,"bayes","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"588",1310,"dfsioe_write","ETH","RL1",10,10,1,65536,"None",64,"Azure L"
"61",4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"4253",1250,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1"
"112",795,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"177",2646,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"3246",3317,"terasort","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"2592",3501,"sort","ETH","HDD",12,20,3,131072,"None",64,"Local 1"
"1710",745,"sort","ETH","RL3",10,10,1,65536,"None",256,"Azure L"
"193",3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"3677",2442,"dfsioe_write","ETH","HDD",12,10,2,65536,"ZLIB",64,"Local 1"
"2419",1368,"kmeans","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"3766",1747,"dfsioe_write","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"1675",1276,"wordcount","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L"
"2528",3045,"sort","IB","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"2852",1095,"bayes","IB","HDD",12,20,1,131072,"None",32,"Local 1"
"2116",5321,"terasort","ETH","R3",8,10,2,65536,"Snappy",64,"Azure L"
"3922",1204,"terasort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"3546",1010,"terasort","IB","SSD",12,20,3,131072,"None",64,"Local 1"
"2288",1433,"dfsioe_read","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"902",1277,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"2282",1111,"bayes","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"4279",1320,"dfsioe_read","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"1247",619,"sort","ETH","RL2",8,10,1,65536,"ZLIB",256,"Azure L"
"1248",1252,"wordcount","ETH","RL2",8,10,1,65536,"ZLIB",256,"Azure L"
"3153",4385,"terasort","IB","HDD",12,50,3,32768,"None",32,"Local 1"
"903",2800,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"560",3835,"dfsioe_read","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L"
"4323",664,"wordcount","IB","SSD",12,10,1,65536,"None",0,"Local 1"
"1579",2647,"pagerank","ETH","RL3",8,10,2,65536,"ZLIB",32,"Azure L"
"3984",974,"kmeans","IB","SSD",24,10,2,65536,"None",64,"Local 1"
"3460",1022,"terasort","ETH","SSD",12,50,1,65536,"None",64,"Local 1"
"520",722,"sort","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L"
"3449",1076,"terasort","ETH","SSD",12,5,3,4096,"None",256,"Local 1"
"326",2915,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
"2427",1277,"dfsioe_write","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"3765",983,"sort","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"2890",983,"wordcount","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"3080",1235,"kmeans","ETH","SSD",12,50,3,131072,"None",64,"Local 1"
"3972",984,"kmeans","ETH","SSD",24,10,1,65536,"None",64,"Local 1"
"140",2796,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"2302",1366,"dfsioe_read","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"2765",1158,"bayes","IB","HDD",12,50,1,131072,"None",256,"Local 1"
"3507",1053,"terasort","ETH","SSD",12,5,1,65536,"None",256,"Local 1"
"1886",3117,"terasort","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"705",1252,"wordcount","ETH","RL1",8,10,1,65536,"None",128,"Azure L"
"651",1284,"wordcount","ETH","RL1",8,10,1,65536,"BZIP2",64,"Azure L"
"376",667,"sort","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"3079",664,"wordcount","ETH","SSD",12,50,3,131072,"None",64,"Local 1"
"1416",1284,"wordcount","ETH","RL3",10,10,3,65536,"None",32,"Azure L"
"3428",2035,"pagerank","ETH","SSD",12,10,3,4096,"None",64,"Local 1"
"472",624,"sort","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"4164",2261,"hivebench_agregation","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"1041",2570,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",64,"Azure L"
"2469",5884,"dfsioe_read","IB","HDD",12,10,1,65536,"Snappy",32,"Local 1"
"1037",3064,"dfsioe_read","ETH","RL2",10,10,2,65536,"ZLIB",64,"Azure L"
"1434",1256,"wordcount","ETH","RL3",8,10,3,65536,"Snappy",128,"Azure L"
"3163",4282,"terasort","IB","HDD",12,20,3,131072,"None",256,"Local 1"
"2409",2118,"pagerank","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"828",2972,"pagerank","ETH","RL2",10,10,3,65536,"None",64,"Azure L"
"984",2953,"pagerank","ETH","RL2",10,10,2,65536,"Snappy",32,"Azure L"
"2410",3470,"sort","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"3439",1028,"terasort","ETH","SSD",12,10,3,131072,"None",32,"Local 1"
"2904",2339,"sort","IB","HDD",12,10,1,4096,"None",256,"Local 1"
"427",2534,"dfsioe_write","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L"
"3728",2417,"dfsioe_write","IB","HDD",12,10,2,65536,"ZLIB",64,"Local 1"
"428",2983,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L"
"421",2546,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"232",668,"sort","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"2992",2102,"pagerank","IB","HDD",12,5,1,4096,"None",32,"Local 1"
"294",2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"1075",1249,"dfsioe_write","ETH","RL2",10,10,1,65536,"Snappy",128,"Azure L"
"4344",1459,"dfsioe_read","IB","SSD",24,10,1,4096,"None",0,"Local 1"
"129",2779,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"1106",1282,"dfsioe_write","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L"
"3800",937,"dfsioe_write","IB","SSD",24,10,3,65536,"ZLIB",64,"Local 1"
"3887",790,"terasort","ETH","SSD",24,10,3,65536,"ZLIB",64,"Local 1"
"2470",1096,"bayes","IB","HDD",12,10,1,65536,"Snappy",32,"Local 1"
"4380",2690,"terasort","IB","HDD",12,100,1,65536,"None",0,"Local 1"
"1119",4256,"dfsioe_read","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L"
"2555",2091,"pagerank","IB","HDD",12,10,1,65536,"None",256,"Local 1"
