"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"3822",501,"sort","IB","SSD",24,10,2,65536,"None",64,"Local 1"
"1262",1329,"dfsioe_write","ETH","RL2",8,10,1,65536,"ZLIB",32,"Azure L"
"1950",2507,"terasort","ETH","RL2",10,10,3,65536,"None",128,"Azure L"
"3738",1317,"dfsioe_write","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"507",2860,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L"
"3864",3426,"terasort","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"1700",2745,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",32,"Azure L"
"1478",4807,"dfsioe_write","ETH","RL3",8,10,3,65536,"BZIP2",64,"Azure L"
"389",1336,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L"
"1207",2986,"kmeans","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L"
"2057",2752,"terasort","ETH","RL3",10,10,1,65536,"Snappy",128,"Azure L"
"3486",1059,"terasort","ETH","SSD",12,20,1,32768,"None",64,"Local 1"
"1453",2796,"kmeans","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L"
"134",2895,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"1115",672,"sort","ETH","RL2",10,10,1,65536,"BZIP2",32,"Azure L"
"634",2772,"kmeans","ETH","RL1",8,10,1,65536,"Snappy",64,"Azure L"
"1107",3940,"dfsioe_read","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L"
"1494",1251,"wordcount","ETH","RL3",8,10,3,65536,"ZLIB",128,"Azure L"
"3826",572,"dfsioe_write","IB","SSD",16,10,2,65536,"None",64,"Local 1"
"320",3082,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"1169",651,"sort","ETH","RL2",10,10,1,65536,"None",64,"Azure L"
"1223",576,"sort","ETH","RL2",8,10,1,65536,"BZIP2",128,"Azure L"
"2595",1157,"bayes","ETH","HDD",12,20,3,131072,"None",256,"Local 1"
"501",2817,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L"
"3868",4260,"terasort","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"3567",968,"terasort","IB","SSD",12,10,3,32768,"None",256,"Local 1"
"2273",481,"dfsioe_write","IB","SSD",12,10,1,65536,"None",256,"Local 1"
"2279",1127,"kmeans","IB","SSD",12,10,1,65536,"None",256,"Local 1"
"120",2749,"kmeans","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"2435",6616,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"2663",847,"wordcount","ETH","HDD",12,10,3,4096,"None",128,"Local 1"
"1600",2523,"kmeans","ETH","RL3",8,10,2,65536,"None",128,"Azure L"
"3408",976,"terasort","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"1647",2635,"dfsioe_write","ETH","RL3",10,10,1,65536,"BZIP2",256,"Azure L"
"2723",881,"wordcount","ETH","HDD",12,5,3,65536,"None",128,"Local 1"
"1259",589,"sort","ETH","RL2",8,10,1,65536,"ZLIB",64,"Azure L"
"547",1386,"dfsioe_write","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L"
"2069",2362,"terasort","ETH","RL3",10,10,1,65536,"None",128,"Azure L"
"2889",2815,"sort","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"2301",426,"dfsioe_write","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"1805",2667,"pagerank","ETH","RL3",8,10,1,65536,"ZLIB",128,"Azure L"
"2768",1408,"wordcount","IB","HDD",12,50,1,131072,"None",256,"Local 1"
"4331",689,"terasort","IB","SSD",24,25,1,65536,"None",0,"Local 1"
"1540",1406,"wordcount","ETH","RL3",10,10,2,65536,"Snappy",256,"Azure L"
"2941",1299,"kmeans","IB","HDD",12,10,1,32768,"None",64,"Local 1"
"3170",4424,"terasort","IB","HDD",12,10,3,65536,"None",64,"Local 1"
"1967",2821,"terasort","ETH","RL2",8,10,3,65536,"None",32,"Azure L"
"2496",1347,"dfsioe_write","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"887",3104,"dfsioe_read","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"306",2583,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"3971",980,"kmeans","ETH","SSD",24,10,1,65536,"ZLIB",64,"Local 1"
"2087",3098,"terasort","ETH","RL3",8,10,1,65536,"None",32,"Azure L"
"2990",1257,"kmeans","IB","HDD",12,5,1,4096,"None",128,"Local 1"
"1796",2800,"kmeans","ETH","RL3",8,10,1,65536,"BZIP2",64,"Azure L"
"2312",2912,"sort","ETH","HDD",12,10,1,65536,"Snappy",256,"Local 1"
"4261",1326,"dfsioe_write","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1"
"1228",2713,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"481",2551,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"2142",2443,"terasort","ETH","RL2",8,10,2,65536,"ZLIB",64,"Azure L"
"2386",6164,"dfsioe_read","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"2966",1121,"bayes","IB","HDD",12,5,1,65536,"None",128,"Local 1"
"2826",1291,"wordcount","IB","HDD",12,20,1,4096,"None",256,"Local 1"
"2415",1149,"bayes","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"1900",2705,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",128,"Azure L"
"2639",2062,"kmeans","ETH","HDD",12,10,3,65536,"None",256,"Local 1"
"1761",2661,"dfsioe_write","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"3411",954,"sort","ETH","SSD",12,10,3,65536,"None",256,"Local 1"
"2425",1029,"wordcount","ETH","HDD",12,10,1,65536,"None",128,"Local 1"
"2338",1105,"bayes","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2556",2532,"sort","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"1888",3062,"terasort","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"2988",2040,"sort","IB","HDD",12,5,1,4096,"None",128,"Local 1"
"2779",1458,"kmeans","IB","HDD",12,50,1,131072,"None",32,"Local 1"
"4280",589,"hivebench_join","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"3533",970,"terasort","IB","SSD",12,50,3,131072,"None",32,"Local 1"
"3795",403,"dfsioe_write","ETH","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"340",792,"sort","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"2932",1086,"bayes","IB","HDD",12,10,1,131072,"None",32,"Local 1"
"4361",759,"hivebench_agregation","IB","SSD",12,10,1,4096,"None",0,"Local 1"
"3247",4132,"terasort","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"146",3001,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"2805",1157,"bayes","IB","HDD",12,20,1,65536,"None",256,"Local 1"
"2224",390,"dfsioe_write","IB","SSD",12,10,1,65536,"BZIP2",32,"Local 1"
"1759",1337,"wordcount","ETH","RL3",8,10,1,65536,"Snappy",32,"Azure L"
"3785",511,"sort","ETH","SSD",24,10,1,65536,"ZLIB",64,"Local 1"
"475",2553,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",32,"Azure L"
"3255",5054,"terasort","IB","HDD",12,20,1,32768,"None",128,"Local 1"
"2843",1159,"bayes","IB","HDD",12,20,1,131072,"None",256,"Local 1"
"2323",7511,"dfsioe_read","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2898",2072,"pagerank","IB","HDD",12,10,1,4096,"None",64,"Local 1"
"4384",678,"terasort","IB","SSD",24,10,3,65536,"None",0,"Local 1"
"2381",2199,"pagerank","ETH","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"1430",4558,"dfsioe_write","ETH","RL3",8,10,3,65536,"Snappy",128,"Azure L"
"3964",1244,"kmeans","ETH","SSD",12,10,3,65536,"None",64,"Local 1"
"2206",1883,"pagerank","IB","SSD",12,10,1,65536,"BZIP2",256,"Local 1"
"2172",5576,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L"
"508",661,"sort","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L"
"3383",1246,"kmeans","ETH","SSD",12,20,3,32768,"None",64,"Local 1"
"3593",947,"terasort","IB","SSD",12,50,1,131072,"None",64,"Local 1"
"1117",2696,"kmeans","ETH","RL2",10,10,1,65536,"BZIP2",32,"Azure L"
"3644",944,"terasort","IB","SSD",12,5,1,131072,"None",32,"Local 1"
"4307",3379,"dfsioe_read","ETH","SSD",12,10,1,65536,"None",0,"Local 1"
"4181",1376,"hivebench_join","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"1718",2539,"kmeans","ETH","RL3",10,10,1,65536,"None",128,"Azure L"
"2994",1011,"wordcount","IB","HDD",12,5,1,4096,"None",32,"Local 1"
"4170",585,"wordcount","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"3953",972,"kmeans","IB","HDD",24,10,1,65536,"ZLIB",64,"Local 1"
"15",2945,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"2850",1030,"wordcount","IB","HDD",12,20,1,131072,"None",128,"Local 1"
"1481",695,"sort","ETH","RL3",8,10,3,65536,"BZIP2",64,"Azure L"
"3068",961,"sort","ETH","SSD",12,50,3,4096,"None",128,"Local 1"
"1962",2799,"terasort","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L"
"213",2688,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"1645",1279,"wordcount","ETH","RL3",10,10,1,65536,"Snappy",64,"Azure L"
"3667",3375,"sort","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"701",1275,"dfsioe_write","ETH","RL1",8,10,1,65536,"None",128,"Azure L"
"2116",5321,"terasort","ETH","R3",8,10,2,65536,"Snappy",64,"Azure L"
"3427",1118,"bayes","ETH","SSD",12,10,3,4096,"None",64,"Local 1"
"1689",3601,"dfsioe_write","ETH","RL3",10,10,1,65536,"ZLIB",64,"Azure L"
"2242",457,"sort","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1"
"1908",3171,"terasort","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L"
"145",4414,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"912",2688,"pagerank","ETH","RL2",8,10,3,65536,"ZLIB",128,"Azure L"
"2599",1773,"kmeans","ETH","HDD",12,20,3,131072,"None",256,"Local 1"
"1612",3227,"kmeans","ETH","RL3",8,10,2,65536,"None",32,"Azure L"
"606",3645,"dfsioe_read","ETH","RL1",8,10,1,65536,"Snappy",256,"Azure L"
"3954",978,"kmeans","IB","HDD",24,10,1,65536,"None",64,"Local 1"
"1244",1240,"dfsioe_write","ETH","RL2",8,10,1,65536,"ZLIB",256,"Azure L"
"820",2568,"kmeans","ETH","RL2",10,10,3,65536,"None",256,"Azure L"
"562",657,"sort","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L"
"2303",1111,"bayes","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"4350",658,"terasort","IB","SSD",24,10,1,4096,"None",0,"Local 1"
"2678",1046,"wordcount","ETH","HDD",12,10,3,131072,"None",256,"Local 1"
"33",2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"393",2612,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L"
"1535",2803,"kmeans","ETH","RL3",8,10,3,65536,"None",64,"Azure L"
"188",2542,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"2870",923,"wordcount","IB","HDD",12,20,1,32768,"None",128,"Local 1"
"347",1294,"wordcount","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"1010",1265,"wordcount","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"1447",2996,"kmeans","ETH","RL3",8,10,3,65536,"Snappy",32,"Azure L"
"2326",3355,"sort","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"1002",2891,"pagerank","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L"
"2544",989,"kmeans","IB","HDD",12,10,1,65536,"ZLIB",32,"Local 1"
