"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1722",745,"sort","ETH","RL3",10,10,1,65536,"None",64,"Azure L"
"1939",2769,"terasort","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L"
"757",2878,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L"
"3100",3762,"terasort","IB","HDD",24,10,1,65536,"None",64,"Local 1"
"376",667,"sort","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"2957",1111,"bayes","IB","HDD",12,5,1,65536,"None",64,"Local 1"
"1307",860,"sort","ETH","RL3",10,10,3,65536,"Snappy",256,"Azure L"
"2280",444,"dfsioe_write","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"2665",1133,"bayes","ETH","HDD",12,10,3,4096,"None",32,"Local 1"
"3486",1059,"terasort","ETH","SSD",12,20,1,32768,"None",64,"Local 1"
"331",2590,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"3699",5346,"dfsioe_write","IB","HDD",24,10,3,65536,"ZLIB",64,"Local 1"
"1411",2590,"kmeans","ETH","RL3",10,10,3,65536,"None",64,"Azure L"
"4150",1007,"terasort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"1244",1240,"dfsioe_write","ETH","RL2",8,10,1,65536,"ZLIB",256,"Azure L"
"902",1277,"wordcount","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L"
"3939",1197,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"61",4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"3007",2104,"pagerank","IB","HDD",12,5,1,131072,"None",128,"Local 1"
"3952",1206,"kmeans","IB","HDD",12,10,2,65536,"None",64,"Local 1"
"538",684,"sort","ETH","RL1",10,10,1,65536,"BZIP2",32,"Azure L"
"333",2969,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"2130",2484,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"3838",583,"dfsioe_read","IB","SSD",24,10,1,65536,"None",64,"Local 1"
"1293",3981,"dfsioe_read","ETH","RL2",8,10,1,65536,"None",32,"Azure L"
"3815",634,"dfsioe_write","IB","SSD",12,10,3,65536,"None",64,"Local 1"
"1318",2827,"pagerank","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L"
"825",1293,"wordcount","ETH","RL2",10,10,3,65536,"None",128,"Azure L"
"3969",1196,"kmeans","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1"
"460",658,"sort","ETH","RL1",8,10,2,65536,"None",256,"Azure L"
"2580",1403,"dfsioe_write","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"855",2645,"kmeans","ETH","RL2",8,10,3,65536,"Snappy",128,"Azure L"
"2716",3535,"pagerank","ETH","HDD",12,5,3,65536,"None",256,"Local 1"
"2913",2104,"pagerank","IB","HDD",12,10,1,4096,"None",32,"Local 1"
"2218",1263,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1"
"3080",1235,"kmeans","ETH","SSD",12,50,3,131072,"None",64,"Local 1"
"3030",1349,"kmeans","IB","HDD",12,5,1,32768,"None",128,"Local 1"
"2841",894,"wordcount","IB","HDD",12,20,1,131072,"None",64,"Local 1"
"847",734,"sort","ETH","RL2",8,10,3,65536,"Snappy",256,"Azure L"
"141",2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"1453",2796,"kmeans","ETH","RL3",8,10,3,65536,"Snappy",64,"Azure L"
"1609",2635,"pagerank","ETH","RL3",8,10,2,65536,"None",32,"Azure L"
"2157",2249,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"332",2953,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"3833",462,"sort","IB","SSD",12,10,2,65536,"None",64,"Local 1"
"1395",2690,"dfsioe_read","ETH","RL3",10,10,3,65536,"None",256,"Azure L"
"1675",1276,"wordcount","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L"
"176",2867,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"2569",2087,"pagerank","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"1859",2917,"terasort","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"1998",2690,"terasort","ETH","RL2",8,10,2,65536,"None",64,"Azure L"
"3000",1266,"kmeans","IB","HDD",12,5,1,131072,"None",64,"Local 1"
"102",2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"2122",5423,"terasort","ETH","R3",8,10,1,65536,"ZLIB",64,"Azure L"
