"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1577",10447,"dfsioe_write","ETH","RL3",8,10,2,65536,"ZLIB",32,"Azure L"
"4162",9285,"dfsioe_read","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"1726",10225,"dfsioe_read","ETH","RL3",10,10,1,65536,"None",32,"Azure L"
"1810",11253,"dfsioe_read","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"2490",8156,"dfsioe_read","IB","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"969",1334,"kmeans","ETH","RL2",10,10,2,65536,"Snappy",256,"Azure L"
"2545",1471,"dfsioe_write","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"3417",935,"sort","ETH","SSD",12,10,3,65536,"None",128,"Local 1"
"33571",1084,"bayes","ETH","SSD",12,20,3,131072,"None",64,"Local 1"
"2478",1956,"pagerank","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"1215",3540,"dfsioe_read","ETH","RL2",8,10,1,65536,"BZIP2",256,"Azure L"
"781",2817,"pagerank","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"592",1275,"wordcount","ETH","RL1",10,10,1,65536,"None",64,"Azure L"
"92",2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"2552",1240,"dfsioe_write","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"36431",914,"terasort","IB","SSD",12,5,1,131072,"None",128,"Local 1"
"2185",1850,"pagerank","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1"
"1521",3045,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"2863",2190,"pagerank","IB","HDD",12,20,1,32768,"None",256,"Local 1"
"776",805,"sort","ETH","RL2",10,10,3,65536,"BZIP2",32,"Azure L"
"3269",5330,"terasort","IB","HDD",12,10,1,32768,"None",128,"Local 1"
"1809",2422,"dfsioe_write","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"3524",965,"terasort","IB","SSD",12,50,3,65536,"None",128,"Local 1"
"2495",1354,"kmeans","IB","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"8",4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"3194",4368,"terasort","IB","HDD",12,5,3,131072,"None",64,"Local 1"
"2327",882,"wordcount","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"1619",2791,"dfsioe_write","ETH","RL3",10,10,1,65536,"Snappy",256,"Azure L"
"4090",7525,"dfsioe_read","IB","HDD",12,10,1,65536,"None",32,"Local 1"
"24011",1102,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",32,"Local 1"
"989",3032,"dfsioe_read","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L"
"2458",2943,"sort","IB","HDD",12,10,1,65536,"Snappy",128,"Local 1"
"1581",1345,"wordcount","ETH","RL3",8,10,2,65536,"ZLIB",32,"Azure L"
"1311",1253,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"978",2919,"pagerank","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L"
"3618",947,"terasort","IB","SSD",12,10,1,65536,"None",256,"Local 1"
"3210",3888,"terasort","IB","HDD",12,50,1,131072,"None",64,"Local 1"
"3032",2114,"pagerank","IB","HDD",12,5,1,32768,"None",32,"Local 1"
"2909",2058,"sort","IB","HDD",12,10,1,4096,"None",128,"Local 1"
"1944",2667,"terasort","ETH","RL2",10,10,3,65536,"BZIP2",32,"Azure L"
"2398",1292,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"854",1258,"wordcount","ETH","RL2",8,10,3,65536,"Snappy",128,"Azure L"
"2476",6520,"dfsioe_read","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"19701",2817,"terasort","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L"
"4386",685,"terasort","IB","SSD",24,10,2,65536,"None",0,"Local 1"
"30",2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"34391",1028,"terasort","ETH","SSD",12,10,3,131072,"None",32,"Local 1"
"1128",1401,"wordcount","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"8611",2810,"kmeans","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L"
"1418",4689,"dfsioe_write","ETH","RL3",10,10,3,65536,"None",64,"Azure L"
"2008",2522,"terasort","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"942",2727,"pagerank","ETH","RL2",8,10,3,65536,"None",128,"Azure L"
"210",3018,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"38171",508,"dfsioe_write","IB","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"726",2916,"dfsioe_read","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L"
"4146",1410,"hivebench_agregation","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"698",662,"sort","ETH","RL1",8,10,1,65536,"None",256,"Azure L"
"7621",2662,"dfsioe_read","ETH","RL2",10,10,3,65536,"BZIP2",128,"Azure L"
"2611",3000,"pagerank","ETH","HDD",12,20,3,32768,"None",64,"Local 1"
"43761",860,"terasort","IB","SSD",12,100,3,65536,"None",0,"Local 1"
"3118",5264,"terasort","ETH","HDD",12,20,3,32768,"None",64,"Local 1"
"3993",989,"kmeans","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"1758",651,"sort","ETH","RL3",8,10,1,65536,"Snappy",32,"Azure L"
"3936",975,"kmeans","ETH","HDD",24,10,1,65536,"None",64,"Local 1"
"2306",680,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"381",2677,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L"
"2779",1458,"kmeans","IB","HDD",12,50,1,131072,"None",32,"Local 1"
"3660",4899,"dfsioe_write","ETH","HDD",12,10,3,65536,"ZLIB",64,"Local 1"
"37491",2589,"dfsioe_write","ETH","SSD",24,10,3,65536,"ZLIB",64,"Local 1"
"41991",1939,"hivebench_join","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"1197",3886,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L"
"38541",4543,"terasort","ETH","HDD",16,10,3,65536,"None",64,"Local 1"
"163",4231,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"2709",1672,"kmeans","ETH","HDD",12,10,3,32768,"None",32,"Local 1"
"3615",962,"terasort","IB","SSD",12,20,1,32768,"None",128,"Local 1"
"1387",2730,"kmeans","ETH","RL3",10,10,3,65536,"ZLIB",32,"Azure L"
"43021",1262,"kmeans","IB","HDD",12,10,1,65536,"None",0,"Local 1"
"25081",1002,"wordcount","IB","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"1005",2528,"kmeans","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L"
"1496",4521,"dfsioe_write","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L"
"3974",1077,"kmeans","ETH","SSD",16,10,1,65536,"None",64,"Local 1"
"3924",1067,"kmeans","ETH","HDD",24,10,3,65536,"None",64,"Local 1"
