"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2324",1104,"bayes","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"2680",1135,"bayes","ETH","HDD",12,10,3,131072,"None",128,"Local 1"
"4272",1236,"bayes","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"2620",1124,"bayes","ETH","HDD",12,20,3,32768,"None",128,"Local 1"
"4282",1233,"bayes","IB","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"2240",1145,"bayes","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1"
"2695",1170,"bayes","ETH","HDD",12,10,3,32768,"None",256,"Local 1"
"2554",1162,"bayes","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"2484",1150,"bayes","IB","HDD",12,10,1,65536,"BZIP2",256,"Local 1"
"2519",1159,"bayes","IB","HDD",12,10,1,65536,"ZLIB",256,"Local 1"
"4137",1100,"bayes","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"4219",1149,"bayes","IB","SSD",12,10,1,65536,"None",256,"Local 1"
"2775",1098,"bayes","IB","HDD",12,50,1,131072,"None",32,"Local 1"
"2184",1105,"bayes","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1"
"2247",1120,"bayes","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1"
"2456",1111,"bayes","IB","HDD",12,10,1,65536,"Snappy",128,"Local 1"
"2927",1113,"bayes","IB","HDD",12,10,1,131072,"None",128,"Local 1"
"4129",1100,"bayes","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"3373",1097,"bayes","ETH","SSD",12,20,3,131072,"None",32,"Local 1"
"2415",1149,"bayes","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"3041",1164,"bayes","ETH","SSD",12,50,3,65536,"None",256,"Local 1"
"2296",1099,"bayes","IB","SSD",12,10,1,65536,"None",32,"Local 1"
"2828",1137,"bayes","IB","HDD",12,20,1,4096,"None",128,"Local 1"
"2317",1125,"bayes","ETH","HDD",12,10,1,65536,"Snappy",128,"Local 1"
"2650",1128,"bayes","ETH","HDD",12,10,3,4096,"None",64,"Local 1"
"4101",1115,"bayes","ETH","SSD",12,10,1,65536,"None",32,"Local 1"
"2976",1113,"bayes","IB","HDD",12,5,1,4096,"None",64,"Local 1"
"4111",1122,"bayes","IB","SSD",12,10,1,65536,"None",32,"Local 1"
"3397",1108,"bayes","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"2862",1159,"bayes","IB","HDD",12,20,1,32768,"None",256,"Local 1"
"3011",1091,"bayes","IB","HDD",12,5,1,131072,"None",32,"Local 1"
"2505",1222,"bayes","IB","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"2942",1168,"bayes","IB","HDD",12,10,1,32768,"None",256,"Local 1"
"4201",1209,"bayes","IB","HDD",12,10,1,65536,"None",256,"Local 1"
"2785",1170,"bayes","IB","HDD",12,50,1,32768,"None",256,"Local 1"
"2760",1115,"bayes","IB","HDD",12,50,1,131072,"None",64,"Local 1"
"2387",1135,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"2645",1095,"bayes","ETH","HDD",12,10,3,65536,"None",32,"Local 1"
"3391",1118,"bayes","ETH","SSD",12,20,3,32768,"None",128,"Local 1"
"2947",1122,"bayes","IB","HDD",12,10,1,32768,"None",128,"Local 1"
"2477",1096,"bayes","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"4084",1143,"bayes","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"2491",1116,"bayes","IB","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"2408",1170,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"3379",1110,"bayes","ETH","SSD",12,20,3,32768,"None",64,"Local 1"
"2526",1137,"bayes","IB","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"2867",1122,"bayes","IB","HDD",12,20,1,32768,"None",128,"Local 1"
"2725",1091,"bayes","ETH","HDD",12,5,3,65536,"None",32,"Local 1"
"3310",1104,"bayes","ETH","SSD",12,20,3,65536,"None",64,"Local 1"
"4255",1213,"bayes","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1"
"3051",1086,"bayes","ETH","SSD",12,50,3,65536,"None",32,"Local 1"
"3086",1111,"bayes","ETH","SSD",12,50,3,131072,"None",128,"Local 1"
