"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1700",2745,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",32,"Azure L"
"3005",1372,"kmeans","IB","HDD",12,5,1,131072,"None",256,"Local 1"
"3070",1139,"kmeans","ETH","SSD",12,50,3,4096,"None",128,"Local 1"
"1129",2634,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"294",2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"700",2650,"kmeans","ETH","RL1",8,10,1,65536,"None",256,"Azure L"
"264",2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"1297",2976,"kmeans","ETH","RL2",8,10,1,65536,"None",32,"Azure L"
"306",2583,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"162",2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"36",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"3343",1195,"kmeans","ETH","SSD",12,20,3,4096,"None",256,"Local 1"
"4292",848,"kmeans","ETH","HDD",12,10,1,65536,"None",0,"Local 1"
"772",2632,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"2774",1381,"kmeans","IB","HDD",12,50,1,131072,"None",128,"Local 1"
"4185",1114,"kmeans","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"1405",2551,"kmeans","ETH","RL3",10,10,3,65536,"None",128,"Azure L"
"216",2809,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"3978",980,"kmeans","IB","SSD",24,10,3,65536,"None",64,"Local 1"
"652",2763,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",64,"Azure L"
"987",2743,"kmeans","ETH","RL2",10,10,2,65536,"Snappy",32,"Azure L"
"1315",2533,"kmeans","ETH","RL3",10,10,3,65536,"Snappy",128,"Azure L"
"3010",1295,"kmeans","IB","HDD",12,5,1,131072,"None",128,"Local 1"
"1676",2603,"kmeans","ETH","RL3",10,10,1,65536,"BZIP2",64,"Azure L"
"3923",1058,"kmeans","ETH","HDD",24,10,3,65536,"ZLIB",64,"Local 1"
"897",3005,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",32,"Azure L"
"3302",1117,"kmeans","ETH","SSD",12,50,3,32768,"None",128,"Local 1"
"174",2814,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"2321",1397,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",128,"Local 1"
"873",2790,"kmeans","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L"
"3939",1197,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"2936",1462,"kmeans","IB","HDD",12,10,1,131072,"None",32,"Local 1"
"2433",1328,"kmeans","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"1772",2741,"kmeans","ETH","RL3",8,10,1,65536,"BZIP2",256,"Azure L"
"1035",2521,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",128,"Azure L"
"13",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"1255",2637,"kmeans","ETH","RL2",8,10,1,65536,"ZLIB",128,"Azure L"
"96",1751,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"4167",919,"kmeans","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"855",2645,"kmeans","ETH","RL2",8,10,3,65536,"Snappy",128,"Azure L"
"2314",1438,"kmeans","ETH","HDD",12,10,1,65536,"Snappy",256,"Local 1"
"1041",2570,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",64,"Azure L"
"1622",2644,"kmeans","ETH","RL3",10,10,1,65536,"Snappy",256,"Azure L"
"3431",1268,"kmeans","ETH","SSD",12,10,3,4096,"None",64,"Local 1"
"366",2584,"kmeans","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"742",2604,"kmeans","ETH","RL2",10,10,3,65536,"Snappy",64,"Azure L"
"2412",1165,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"1588",2902,"kmeans","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L"
"3958",1183,"kmeans","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"2419",1368,"kmeans","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"784",2602,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"616",2629,"kmeans","ETH","RL1",8,10,1,65536,"Snappy",128,"Azure L"
"2669",1628,"kmeans","ETH","HDD",12,10,3,4096,"None",32,"Local 1"
"1826",2907,"kmeans","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"1411",2590,"kmeans","ETH","RL3",10,10,3,65536,"None",64,"Azure L"
"2516",1273,"kmeans","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1"
"438",2627,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",128,"Azure L"
"2265",1414,"kmeans","IB","SSD",12,10,1,65536,"ZLIB",32,"Local 1"
"2619",1641,"kmeans","ETH","HDD",12,20,3,32768,"None",256,"Local 1"
"246",2782,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"1102",2620,"kmeans","ETH","RL2",10,10,1,65536,"BZIP2",256,"Azure L"
"766",2549,"kmeans","ETH","RL2",10,10,3,65536,"BZIP2",128,"Azure L"
"540",2711,"kmeans","ETH","RL1",10,10,1,65536,"BZIP2",32,"Azure L"
"1096",2571,"kmeans","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L"
"4070",1005,"kmeans","IB","SSD",24,10,1,65536,"None",64,"Local 1"
"2744",1305,"kmeans","IB","HDD",12,50,1,4096,"None",64,"Local 1"
"3035",1469,"kmeans","IB","HDD",12,5,1,32768,"None",32,"Local 1"
"144",2791,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"2244",1125,"kmeans","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1"
"2537",1308,"kmeans","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"646",2618,"kmeans","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L"
"2481",1306,"kmeans","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1"
"1111",2549,"kmeans","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L"
"468",2634,"kmeans","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"2551",1280,"kmeans","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"2251",1074,"kmeans","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1"
"4086",1489,"kmeans","ETH","HDD",12,10,1,65536,"None",32,"Local 1"
"2356",1476,"kmeans","ETH","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"3938",1070,"kmeans","ETH","HDD",16,10,1,65536,"None",64,"Local 1"
"474",2800,"kmeans","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"1712",2688,"kmeans","ETH","RL3",10,10,1,65536,"None",256,"Azure L"
"564",2571,"kmeans","ETH","RL1",10,10,1,65536,"ZLIB",64,"Azure L"
"3965",985,"kmeans","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"1351",2594,"kmeans","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L"
"1237",2976,"kmeans","ETH","RL2",8,10,1,65536,"BZIP2",32,"Azure L"
"2674",1432,"kmeans","ETH","HDD",12,10,3,131072,"None",64,"Local 1"
"3955",893,"kmeans","IB","HDD",16,10,1,65536,"ZLIB",64,"Local 1"
"3401",1455,"kmeans","ETH","SSD",12,20,3,32768,"None",32,"Local 1"
"1465",2205,"kmeans","ETH","RL3",8,10,3,65536,"BZIP2",128,"Azure L"
"252",2593,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"3982",1200,"kmeans","IB","SSD",12,10,3,65536,"None",64,"Local 1"
"2749",1457,"kmeans","IB","HDD",12,50,1,4096,"None",256,"Local 1"
"2799",1468,"kmeans","IB","HDD",12,50,1,32768,"None",32,"Local 1"
"688",2989,"kmeans","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L"
"2391",1295,"kmeans","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1"
"3085",1178,"kmeans","ETH","SSD",12,50,3,131072,"None",256,"Local 1"
"3928",1265,"kmeans","ETH","HDD",12,10,3,65536,"None",64,"Local 1"
"2946",1319,"kmeans","IB","HDD",12,10,1,32768,"None",256,"Local 1"
"2188",794,"kmeans","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1"
"1303",2769,"kmeans","ETH","RL2",8,10,1,65536,"None",64,"Azure L"
"2286",1074,"kmeans","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"3000",1266,"kmeans","IB","HDD",12,5,1,131072,"None",64,"Local 1"
"222",2723,"kmeans","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"2995",1481,"kmeans","IB","HDD",12,5,1,4096,"None",32,"Local 1"
"492",2617,"kmeans","ETH","RL1",10,10,1,65536,"Snappy",256,"Azure L"
"234",2797,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"3975",1184,"kmeans","ETH","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"3985",1089,"kmeans","IB","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"504",2557,"kmeans","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L"
"3371",1118,"kmeans","ETH","SSD",12,20,3,131072,"None",128,"Local 1"
"951",2801,"kmeans","ETH","RL2",8,10,3,65536,"None",64,"Azure L"
"4157",1102,"kmeans","ETH","HDD",12,10,1,65536,"None",128,"Local 1"
"4139",1256,"kmeans","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"2724",1600,"kmeans","ETH","HDD",12,5,3,65536,"None",128,"Local 1"
"1658",2530,"kmeans","ETH","RL3",10,10,1,65536,"BZIP2",128,"Azure L"
"1023",2587,"kmeans","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"1153",2557,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",64,"Azure L"
"3947",656,"kmeans","IB","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"1820",3081,"kmeans","ETH","RL3",8,10,1,65536,"ZLIB",32,"Azure L"
"42",2577,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"84",2602,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"228",2654,"kmeans","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"2370",1470,"kmeans","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"1375",2560,"kmeans","ETH","RL3",10,10,3,65536,"ZLIB",128,"Azure L"
"3325",1120,"kmeans","ETH","SSD",12,20,3,65536,"None",128,"Local 1"
