"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"4276",710,"sort","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"3760",975,"sort","ETH","SSD",16,10,3,65536,"None",64,"Local 1"
"388",657,"sort","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L"
"3083",973,"sort","ETH","SSD",12,50,3,131072,"None",256,"Local 1"
"1082",651,"sort","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L"
"4259",944,"sort","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1"
"1009",726,"sort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"1499",670,"sort","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L"
"1800",672,"sort","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L"
"3777",690,"sort","ETH","SSD",16,10,2,65536,"None",64,"Local 1"
"2924",2249,"sort","IB","HDD",12,10,1,131072,"None",256,"Local 1"
"1385",842,"sort","ETH","RL3",10,10,3,65536,"ZLIB",32,"Azure L"
"1686",768,"sort","ETH","RL3",10,10,1,65536,"ZLIB",128,"Azure L"
"4213",568,"sort","ETH","SSD",12,10,1,65536,"None",256,"Local 1"
"2263",591,"sort","IB","SSD",12,10,1,65536,"ZLIB",32,"Local 1"
"2305",442,"sort","IB","SSD",12,10,1,65536,"None",64,"Local 1"
"3816",560,"sort","IB","SSD",12,10,3,65536,"None",64,"Local 1"
"949",663,"sort","ETH","RL2",8,10,3,65536,"None",64,"Azure L"
"692",588,"sort","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L"
"4141",586,"sort","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"3038",990,"sort","ETH","SSD",12,50,3,65536,"None",64,"Local 1"
"2256",492,"sort","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1"
"3780",748,"sort","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1"
"1193",610,"sort","ETH","RL2",8,10,1,65536,"Snappy",128,"Azure L"
"686",594,"sort","ETH","RL1",8,10,1,65536,"ZLIB",32,"Azure L"
"1265",605,"sort","ETH","RL2",8,10,1,65536,"ZLIB",32,"Azure L"
"3802",499,"sort","IB","SSD",24,10,3,65536,"ZLIB",64,"Local 1"
"1545",727,"sort","ETH","RL3",10,10,2,65536,"Snappy",128,"Azure L"
"1241",662,"sort","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"4187",523,"sort","IB","SSD",12,10,1,65536,"None",128,"Local 1"
"460",658,"sort","ETH","RL1",8,10,2,65536,"None",256,"Azure L"
"4123",1774,"sort","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"626",638,"sort","ETH","RL1",8,10,1,65536,"Snappy",32,"Azure L"
"2652",2669,"sort","ETH","HDD",12,10,3,4096,"None",64,"Local 1"
"758",896,"sort","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L"
"556",690,"sort","ETH","RL1",10,10,1,65536,"ZLIB",128,"Azure L"
"1782",633,"sort","ETH","RL3",8,10,1,65536,"BZIP2",64,"Azure L"
"710",673,"sort","ETH","RL1",8,10,1,65536,"None",64,"Azure L"
"3794",589,"sort","ETH","SSD",16,10,1,65536,"None",64,"Local 1"
"2757",2024,"sort","IB","HDD",12,50,1,4096,"None",32,"Local 1"
"2368",2793,"sort","ETH","HDD",12,10,1,65536,"BZIP2",32,"Local 1"
"2193",585,"sort","IB","SSD",12,10,1,65536,"Snappy",32,"Local 1"
"3774",718,"sort","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1"
"160",786,"sort","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
