"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"4012",699,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1"
"1700",2745,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",32,"Azure L"
"3699",5346,"dfsioe_write","IB","HDD",24,10,3,65536,"ZLIB",64,"Local 1"
"3289",974,"terasort","ETH","SSD",12,50,3,65536,"None",128,"Local 1"
"3114",4734,"terasort","ETH","HDD",12,20,3,131072,"None",64,"Local 1"
"3330",789,"wordcount","ETH","SSD",12,20,3,65536,"None",32,"Local 1"
"123",2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"4161",1410,"dfsioe_write","IB","HDD",12,10,1,65536,"None",128,"Local 1"
"4276",710,"sort","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1"
"4340",687,"terasort","IB","SSD",24,10,1,4096,"None",0,"Local 1"
"4021",511,"wordcount","IB","HDD",24,10,2,65536,"None",64,"Local 1"
"578",2936,"pagerank","ETH","RL1",10,10,1,65536,"None",256,"Azure L"
"464",3080,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"3254",4760,"terasort","IB","HDD",12,20,1,32768,"None",256,"Local 1"
"3005",1372,"kmeans","IB","HDD",12,5,1,131072,"None",256,"Local 1"
"1876",2957,"terasort","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"2013",2617,"terasort","ETH","RL2",10,10,1,65536,"None",128,"Azure L"
"3760",975,"sort","ETH","SSD",16,10,3,65536,"None",64,"Local 1"
"1180",2897,"pagerank","ETH","RL2",10,10,1,65536,"None",64,"Azure L"
"193",3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"388",657,"sort","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L"
"3083",973,"sort","ETH","SSD",12,50,3,131072,"None",256,"Local 1"
"1234",2715,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",32,"Azure L"
"2109",5211,"terasort","ETH","R2",8,10,1,65536,"BZIP2",64,"Azure L"
"1798",16272,"dfsioe_read","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L"
"3139",3990,"terasort","IB","HDD",12,50,3,65536,"None",256,"Local 1"
"4051",511,"wordcount","IB","SSD",24,10,3,65536,"None",64,"Local 1"
"2077",2506,"terasort","ETH","RL3",8,10,1,65536,"BZIP2",128,"Azure L"
"1000",2392,"dfsioe_write","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L"
"3095",4696,"terasort","ETH","HDD",12,10,1,65536,"None",64,"Local 1"
"3070",1139,"kmeans","ETH","SSD",12,50,3,4096,"None",128,"Local 1"
"1204",2604,"pagerank","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L"
"4125",1359,"dfsioe_write","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"3766",1747,"dfsioe_write","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1"
"3002",2166,"pagerank","IB","HDD",12,5,1,131072,"None",256,"Local 1"
"485",1279,"wordcount","ETH","RL1",8,10,2,65536,"None",64,"Azure L"
"3705",3692,"dfsioe_write","IB","HDD",16,10,3,65536,"ZLIB",64,"Local 1"
"3052",2137,"pagerank","ETH","SSD",12,50,3,65536,"None",32,"Local 1"
"3610",949,"terasort","IB","SSD",12,20,1,131072,"None",256,"Local 1"
"3779",956,"dfsioe_read","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1"
"3262",3752,"terasort","IB","HDD",12,10,1,4096,"None",128,"Local 1"
"947",2786,"dfsioe_read","ETH","RL2",8,10,3,65536,"None",64,"Azure L"
"1129",2634,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L"
"892",4866,"dfsioe_write","ETH","RL2",8,10,3,65536,"BZIP2",32,"Azure L"
"2082",2279,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L"
"4333",658,"terasort","IB","SSD",24,5,1,65536,"None",0,"Local 1"
"3503",1050,"terasort","ETH","SSD",12,10,1,32768,"None",256,"Local 1"
"294",2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"1238",1288,"dfsioe_write","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L"
"700",2650,"kmeans","ETH","RL1",8,10,1,65536,"None",256,"Azure L"
"3177",4066,"terasort","IB","HDD",12,10,3,4096,"None",32,"Local 1"
"3451",1084,"terasort","ETH","SSD",12,5,3,4096,"None",32,"Local 1"
"1082",651,"sort","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L"
"3113",4299,"terasort","ETH","HDD",12,20,3,4096,"None",32,"Local 1"
"4136",3612,"dfsioe_read","ETH","SSD",12,10,1,65536,"None",64,"Local 1"
"264",2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"4259",944,"sort","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1"
"3256",4509,"terasort","IB","HDD",12,20,1,32768,"None",32,"Local 1"
"2910",981,"wordcount","IB","HDD",12,10,1,4096,"None",128,"Local 1"
"1009",726,"sort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L"
"3539",962,"terasort","IB","SSD",12,20,3,65536,"None",256,"Local 1"
"1203",3788,"dfsioe_read","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L"
"1297",2976,"kmeans","ETH","RL2",8,10,1,65536,"None",32,"Azure L"
"1499",670,"sort","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L"
"3466",1062,"terasort","ETH","SSD",12,50,1,4096,"None",128,"Local 1"
"4132",4671,"terasort","IB","HDD",12,10,1,65536,"None",64,"Local 1"
"2004",2609,"terasort","ETH","RL2",10,10,1,65536,"BZIP2",256,"Azure L"
"1800",672,"sort","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L"
"3777",690,"sort","ETH","SSD",16,10,2,65536,"None",64,"Local 1"
"306",2583,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"1583",8837,"dfsioe_write","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L"
"162",2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"2924",2249,"sort","IB","HDD",12,10,1,131072,"None",256,"Local 1"
"600",1362,"dfsioe_write","ETH","RL1",10,10,1,65536,"None",64,"Azure L"
"36",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"768",2923,"dfsioe_read","ETH","RL2",10,10,3,65536,"BZIP2",64,"Azure L"
"4002",510,"wordcount","ETH","HDD",24,10,2,65536,"ZLIB",64,"Local 1"
"3551",947,"terasort","IB","SSD",12,20,3,32768,"None",256,"Local 1"
"1294",2622,"pagerank","ETH","RL2",8,10,1,65536,"None",32,"Azure L"
