"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2",1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"3",3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"4",6896,"pagerank","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"6",1308,"wordcount","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"10",2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"13",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"14",4063,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"21",2847,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"22",766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"23",1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"28",786,"sort","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"29",1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"33",2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"37",4028,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"42",2577,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"43",3917,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"48",2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"49",4306,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"50",3006,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"52",821,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"54",2606,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"56",3004,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"57",2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"58",864,"sort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"59",1285,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"65",1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"68",2682,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"83",1266,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"85",4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"86",2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"87",2854,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"88",846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"89",1288,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"91",4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"92",2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"94",773,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"99",2804,"pagerank","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"100",882,"sort","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"105",2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"106",860,"sort","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"107",1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"112",795,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"115",4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"118",863,"sort","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"119",1282,"wordcount","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"122",2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"129",2779,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"130",767,"sort","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"132",2727,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"133",4424,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"135",2687,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"138",2196,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"142",676,"sort","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"144",2791,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"148",751,"sort","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"150",3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"154",703,"sort","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"160",786,"sort","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"162",2733,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"179",1331,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"180",3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"185",1277,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"186",2803,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"190",764,"sort","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"195",2753,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"198",2649,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"202",675,"sort","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"205",4385,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"208",735,"sort","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"209",1329,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"211",4058,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"216",2809,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"222",2723,"kmeans","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"223",4289,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"227",1257,"wordcount","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"229",4192,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"230",2877,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"233",1281,"wordcount","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"239",1334,"wordcount","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"243",2696,"pagerank","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"244",703,"sort","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"247",2718,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"251",1399,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"253",2602,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
"255",2886,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
"256",724,"sort","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
"259",2724,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"261",2870,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"264",2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"265",2536,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
"266",3161,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
"270",2742,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
"283",2352,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
"291",2853,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"293",1277,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"298",720,"sort","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"299",1283,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"300",2745,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"309",2820,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"316",757,"sort","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
"319",2680,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"322",702,"sort","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"326",2915,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L"
"333",2969,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"341",1400,"wordcount","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"348",2533,"kmeans","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"351",2869,"pagerank","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"354",2588,"kmeans","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"355",2587,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"356",2883,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"358",743,"sort","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"360",2721,"kmeans","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"375",2864,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"376",667,"sort","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"377",1245,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"378",2648,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"383",1281,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L"
"386",2990,"dfsioe_read","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L"
"389",1336,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L"
"393",2612,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L"
"397",2604,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L"
"398",2729,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L"
"408",876,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L"
"410",3291,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"419",1334,"wordcount","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L"
"422",3238,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"423",2645,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"424",599,"sort","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L"
"430",723,"sort","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L"
"431",1245,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L"
"432",2704,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L"
"435",2708,"pagerank","ETH","RL1",8,10,2,65536,"ZLIB",128,"Azure L"
"441",2698,"pagerank","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"445",2524,"dfsioe_write","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L"
"452",2982,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L"
"459",2696,"pagerank","ETH","RL1",8,10,2,65536,"None",256,"Azure L"
"460",658,"sort","ETH","RL1",8,10,2,65536,"None",256,"Azure L"
"463",2504,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
"465",2701,"pagerank","ETH","RL1",8,10,2,65536,"None",128,"Azure L"
