"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1",6603,"sort","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"11",870,"sort","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"12",1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"19",4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"20",2869,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"22",766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"23",1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"25",4188,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"27",2804,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"28",786,"sort","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"34",781,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"35",1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"37",4028,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"47",1293,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"53",1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"60",2746,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"61",4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"66",2604,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"69",2894,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"70",858,"sort","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"71",1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"72",2577,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"74",2725,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"75",2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"76",797,"sort","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
