"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2",1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"3",3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"5",6771,"sort","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"7",2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"8",4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"9",2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"10",2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"12",1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"13",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"14",4063,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"17",809,"sort","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"19",4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"22",766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"24",2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"29",1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"30",2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"32",3061,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"34",781,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"35",1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"38",2841,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"42",2577,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"44",2691,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"45",2840,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"48",2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"58",864,"sort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"71",1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"75",2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"76",797,"sort","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"77",1305,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"78",2553,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"81",2914,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"82",789,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"83",1266,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"85",4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"88",846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"95",1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"104",2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"114",2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"119",1282,"wordcount","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"123",2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"124",745,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"127",4065,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"133",4424,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"135",2687,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"136",735,"sort","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"137",1259,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"138",2196,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"143",1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"147",2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"148",751,"sort","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"153",2686,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"155",1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"156",1866,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"159",2769,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"165",2672,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"168",2639,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"169",4317,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"172",688,"sort","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"177",2646,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"179",1331,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"180",3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"181",4220,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"183",2653,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"184",703,"sort","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"187",4004,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"189",2721,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"191",1244,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"193",3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"195",2753,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L"
"199",4213,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"200",2999,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"201",2676,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"204",2801,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"209",1329,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"211",4058,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"214",679,"sort","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"215",1280,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"221",1253,"wordcount","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"226",695,"sort","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"229",4192,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"230",2877,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"231",2660,"pagerank","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"234",2797,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"236",2892,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"237",2653,"pagerank","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"238",733,"sort","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"244",703,"sort","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"248",2804,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"249",2889,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"251",1399,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L"
"255",2886,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
"258",2529,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L"
"261",2870,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"262",731,"sort","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"263",1278,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"266",3161,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L"
"271",2557,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"273",2862,"pagerank","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"274",734,"sort","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"275",1268,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L"
"277",2699,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
"280",782,"sort","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
"282",2577,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L"
"283",2352,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
"284",3001,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
"286",797,"sort","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L"
"294",2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"297",2892,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"300",2745,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L"
"301",2770,"dfsioe_write","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"302",2954,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"304",714,"sort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L"
"307",2513,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"308",2914,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"312",2590,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L"
"317",1300,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L"
"319",2680,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"321",2889,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"323",1274,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"324",2600,"kmeans","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"331",2590,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"333",2969,"pagerank","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L"
"337",2552,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"340",792,"sort","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"341",1400,"wordcount","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"342",2626,"kmeans","ETH","RL1",10,10,2,65536,"None",256,"Azure L"
"344",3003,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"345",2851,"pagerank","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"346",731,"sort","ETH","RL1",10,10,2,65536,"None",128,"Azure L"
"350",2770,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"358",743,"sort","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"359",1276,"wordcount","ETH","RL1",10,10,2,65536,"None",32,"Azure L"
"361",2670,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"366",2584,"kmeans","ETH","RL1",10,10,2,65536,"None",64,"Azure L"
"368",2722,"dfsioe_read","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L"
"369",2685,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L"
"370",723,"sort","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L"
"371",1251,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L"
"373",2692,"dfsioe_write","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
"376",667,"sort","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L"
