"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"1",6603,"sort","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"2",1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"3",3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"4",6896,"pagerank","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"6",1308,"wordcount","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"8",4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"9",2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"12",1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"19",4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"20",2869,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"21",2847,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"23",1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"24",2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"29",1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"30",2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"33",2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"34",781,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"35",1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"38",2841,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"45",2840,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"46",797,"sort","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"49",4306,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"51",2869,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"53",1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"62",2849,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"63",2986,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"65",1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"70",858,"sort","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"74",2725,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"75",2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"79",4370,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"87",2854,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"88",846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"90",2750,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"91",4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"95",1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"99",2804,"pagerank","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"100",882,"sort","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"103",4156,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"105",2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"106",860,"sort","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"107",1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"109",4249,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"110",2826,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"111",2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"112",795,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"113",1282,"wordcount","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"122",2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
