"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2",1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"10",2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"13",2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
"20",2869,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"22",766,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"35",1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"41",1392,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"53",1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"56",3004,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"57",2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"62",2849,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"63",2986,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"65",1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"71",1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"72",2577,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
"76",797,"sort","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
"80",2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"82",789,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
"88",846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"90",2750,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
"98",2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"102",2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
"103",4156,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"107",1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
"110",2826,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"111",2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"116",3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"117",2785,"pagerank","ETH","RL1",10,10,3,65536,"None",32,"Azure L"
"122",2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"124",745,"sort","ETH","RL1",10,10,3,65536,"None",64,"Azure L"
"130",767,"sort","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"131",1253,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L"
"133",4424,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"134",2895,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"136",735,"sort","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L"
"140",2796,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"142",676,"sort","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"143",1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"146",3001,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"150",3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L"
"155",1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"156",1866,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L"
"158",2678,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L"
"163",4231,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"165",2672,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"168",2639,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L"
"174",2814,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"177",2646,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"178",731,"sort","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"179",1331,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"180",3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L"
"184",703,"sort","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"185",1277,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L"
"188",2542,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"189",2721,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"190",764,"sort","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L"
"199",4213,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"204",2801,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"209",1329,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L"
"213",2688,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"216",2809,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L"
"217",4130,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"220",722,"sort","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"221",1253,"wordcount","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"224",2712,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"228",2654,"kmeans","ETH","RL1",8,10,3,65536,"None",128,"Azure L"
"232",668,"sort","ETH","RL1",8,10,3,65536,"None",64,"Azure L"
"235",4705,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"240",3018,"kmeans","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
