"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"3",3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
"4",6896,"pagerank","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"7",2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
"14",4063,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"15",2945,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"16",2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"18",2581,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
"23",1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"26",3062,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"29",1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
"32",3061,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"33",2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"34",781,"sort","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
"40",855,"sort","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"42",2577,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
"44",2691,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"46",797,"sort","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"47",1293,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
"55",4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"60",2746,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
"62",2849,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
"67",4251,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
