"Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
"2351",8583,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"23511",8583,"dfsioe_read","ETH","HDD",12,10,1,65536,"BZIP2",128,"Local 1"
"4190",8089,"dfsioe_read","ETH","HDD",12,10,1,65536,"None",256,"Local 1"
"3477",992,"terasort","ETH","SSD",12,20,1,65536,"None",128,"Local 1"
"239",1334,"wordcount","ETH","RL1",8,10,3,65536,"None",32,"Azure L"
"1165",2506,"kmeans","ETH","RL2",10,10,1,65536,"None",128,"Azure L"
"805",2916,"pagerank","ETH","RL2",10,10,3,65536,"ZLIB",32,"Azure L"
"3088",942,"sort","ETH","SSD",12,50,3,131072,"None",128,"Local 1"
"1941",2489,"terasort","ETH","RL2",10,10,3,65536,"BZIP2",256,"Azure L"
"1344",1296,"wordcount","ETH","RL3",10,10,3,65536,"BZIP2",128,"Azure L"
"2037",3056,"terasort","ETH","RL3",10,10,2,65536,"None",256,"Azure L"
"3926",1152,"kmeans","ETH","HDD",16,10,3,65536,"None",64,"Local 1"
"4050",519,"wordcount","IB","SSD",24,10,3,65536,"ZLIB",64,"Local 1"
"4294",1758,"sort","ETH","HDD",12,10,1,65536,"None",0,"Local 1"
"1769",2622,"pagerank","ETH","RL3",8,10,1,65536,"BZIP2",256,"Azure L"
"634",2772,"kmeans","ETH","RL1",8,10,1,65536,"Snappy",64,"Azure L"
"4249",534,"dfsioe_write","IB","SSD",12,10,1,65536,"BZIP2",0,"Local 1"
"943",748,"sort","ETH","RL2",8,10,3,65536,"None",128,"Azure L"
"1752",629,"sort","ETH","RL3",8,10,1,65536,"Snappy",64,"Azure L"
"220",722,"sort","ETH","RL1",8,10,3,65536,"None",256,"Azure L"
"1600",2523,"kmeans","ETH","RL3",8,10,2,65536,"None",128,"Azure L"
"3988",995,"kmeans","IB","SSD",12,10,2,65536,"None",64,"Local 1"
"968",1395,"wordcount","ETH","RL2",10,10,2,65536,"Snappy",256,"Azure L"
"1358",4679,"dfsioe_write","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L"
"3943",764,"kmeans","IB","HDD",16,10,3,65536,"ZLIB",64,"Local 1"
"1963",2893,"terasort","ETH","RL2",8,10,3,65536,"ZLIB",32,"Azure L"
"1219",2691,"kmeans","ETH","RL2",8,10,1,65536,"BZIP2",256,"Azure L"
"1971",2845,"terasort","ETH","RL2",10,10,2,65536,"Snappy",32,"Azure L"
"1536",2444,"dfsioe_write","ETH","RL3",10,10,2,65536,"Snappy",256,"Azure L"
"1274",1322,"dfsioe_write","ETH","RL2",8,10,1,65536,"None",256,"Azure L"
"642",3649,"dfsioe_read","ETH","RL1",8,10,1,65536,"BZIP2",128,"Azure L"
