"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
816,1026,"terasort","IB","SSD",12,50,1,4096,"None",32,"Local 1",987.417508272135
1511,2339,"sort","IB","HDD",12,10,1,4096,"None",256,"Local 1",2487.57198780564
20326,2704,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L",2604.38151865072
18879,4140,"dfsioe_read","ETH","RL1",8,10,1,65536,"None",32,"Azure L",3950.43628386156
1756,1146,"bayes","ETH","HDD",12,10,3,4096,"None",128,"Local 1",1138.2574222747
22049,3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L",2830.84819076751
907,1015,"terasort","ETH","SSD",12,10,1,131072,"None",32,"Local 1",1067.40874204199
142,556,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",842.27759915691
22163,2604,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2597.69488095456
10812,2828,"pagerank","ETH","RL3",10,10,1,65536,"ZLIB",64,"Azure L",2832.71174588142
18900,1281,"wordcount","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L",1272.7489703637
18733,1284,"wordcount","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L",1285.93679520041
1609,2630,"sort","IB","HDD",12,20,1,65536,"None",256,"Local 1",2521.9269950597
508,969,"terasort","ETH","SSD",12,10,2,65536,"None",64,"Local 1",1007.92615394018
782,950,"terasort","IB","SSD",12,10,1,131072,"None",256,"Local 1",996.110300585767
1397,2074,"pagerank","IB","HDD",12,5,1,32768,"None",64,"Local 1",2186.01408687158
20330,2983,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L",2968.63991543621
22058,2753,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L",2708.15459669494
18206,2975,"dfsioe_read","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",2980.68578128883
1772,1605,"kmeans","ETH","HDD",12,10,3,65536,"None",128,"Local 1",1767.21525389233
1549,1370,"kmeans","IB","HDD",12,20,1,32768,"None",256,"Local 1",1515.73046399878
18866,2853,"pagerank","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L",2861.53779512161
365,530,"wordcount","ETH","SSD",24,10,2,65536,"None",64,"Local 1",481.597473865815
4202,3084,"terasort","ETH","RL3",8,10,2,65536,"None",256,"Azure L",2813.33882963242
1283,4286,"terasort","ETH","HDD",12,5,1,131072,"None",256,"Local 1",4580.08865994224
634,1831,"dfsioe_write","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1",1564.98387601822
20257,2817,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L",2831.66247090849
214,588,"wordcount","IB","SSD",12,10,1,65536,"None",128,"Local 1",589.231783955555
87,464,"dfsioe_write","IB","SSD",12,10,1,65536,"None",0,"Local 1",654.475738059891
2032,1119,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1",1537.16386449657
12,2828,"terasort","ETH","HDD",24,10,1,65536,"None",0,"Local 1",3213.96257424356
93,1211,"bayes","ETH","SSD",12,10,1,65536,"None",0,"Local 1",1073.88881672337
510,877,"terasort","ETH","SSD",16,10,2,65536,"None",64,"Local 1",923.538690967106
713,1153,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1",1529.34123398346
648,2516,"dfsioe_write","ETH","SSD",16,10,3,65536,"None",64,"Local 1",2069.0106793728
1259,5070,"terasort","IB","HDD",12,20,3,65536,"None",256,"Local 1",4644.62897499971
429,800,"kmeans","ETH","SSD",12,10,1,65536,"None",64,"Local 1",1188.38940977774
22174,4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",4103.74843987626
18731,4626,"dfsioe_write","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L",4438.99632277027
751,4894,"sort","ETH","HDD",16,10,3,65536,"ZLIB",64,"Local 1",4068.79898976891
18428,3577,"dfsioe_read","ETH","RL2",10,10,1,65536,"None",256,"Azure L",3692.17278891434
18739,1258,"wordcount","ETH","RL2",8,10,3,65536,"Snappy",128,"Azure L",1287.63281605515
493,841,"terasort","IB","SSD",16,10,2,65536,"ZLIB",64,"Local 1",906.493988282067
152,1215,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",0,"Local 1",1250.12434611433
