"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
392,699,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1",913.274951261955
10803,2745,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",32,"Azure L",2492.76274772805
708,5346,"dfsioe_write","IB","HDD",24,10,3,65536,"ZLIB",64,"Local 1",4150.89487800369
1122,974,"terasort","ETH","SSD",12,50,3,65536,"None",128,"Local 1",1068.13264895427
1300,4734,"terasort","ETH","HDD",12,20,3,131072,"None",64,"Local 1",4193.49218425581
1080,789,"wordcount","ETH","SSD",12,20,3,65536,"None",32,"Local 1",701.831267772129
22106,2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2869.8586360208
241,1410,"dfsioe_write","IB","HDD",12,10,1,65536,"None",128,"Local 1",1458.47899504471
125,710,"sort","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1",689.215937854216
61,687,"terasort","IB","SSD",24,10,1,4096,"None",0,"Local 1",780.054789276983
383,511,"wordcount","IB","HDD",24,10,2,65536,"None",64,"Local 1",521.878688906768
20179,2936,"pagerank","ETH","RL1",10,10,1,65536,"None",256,"Azure L",2834.58255066084
20294,3080,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",128,"Azure L",3073.10774122761
1159,4760,"terasort","IB","HDD",12,20,1,32768,"None",256,"Local 1",4567.37576118602
1409,1372,"kmeans","IB","HDD",12,5,1,131072,"None",256,"Local 1",1642.0240333335
4382,2957,"terasort","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",3031.80565408259
4241,2617,"terasort","ETH","RL2",10,10,1,65536,"None",128,"Azure L",2667.35115157489
646,975,"sort","ETH","SSD",16,10,3,65536,"None",64,"Local 1",850.171371470686
18403,2897,"pagerank","ETH","RL2",10,10,1,65536,"None",64,"Azure L",2820.42155025696
22036,3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L",4065.71170243584
20370,657,"sort","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",771.407339563773
1331,973,"sort","ETH","SSD",12,50,3,131072,"None",256,"Local 1",902.700572483193
18349,2715,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",32,"Azure L",2658.23083097238
4145,5211,"terasort","ETH","R2",8,10,1,65536,"BZIP2",64,"Azure L",5804.77403191224
10705,16272,"dfsioe_read","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L",3688.08359369627
1275,3990,"terasort","IB","HDD",12,50,3,65536,"None",256,"Local 1",4628.07455353484
353,511,"wordcount","IB","SSD",24,10,3,65536,"None",64,"Local 1",472.801606233321
4177,2506,"terasort","ETH","RL3",8,10,1,65536,"BZIP2",128,"Azure L",2639.05601713738
18593,2392,"dfsioe_write","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L",2654.02533047541
1319,4696,"terasort","ETH","HDD",12,10,1,65536,"None",64,"Local 1",4120.78895141828
1344,1139,"kmeans","ETH","SSD",12,50,3,4096,"None",128,"Local 1",1249.14542447797
18379,2604,"pagerank","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L",2658.23083097238
277,1359,"dfsioe_write","IB","HDD",12,10,1,65536,"None",64,"Local 1",1450.6563645316
640,1747,"dfsioe_write","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1",1538.7509070366
1412,2166,"pagerank","IB","HDD",12,5,1,131072,"None",256,"Local 1",2212.38645694726
