"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
22222,2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L",3006.58355620029
22221,4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",4009.53311064695
22211,2581,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L",2554.90761015084
22206,1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",1273.10187969673
22199,2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",2624.26378496684
22190,2881,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L",2872.77871577315
22179,3006,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",3013.82742959972
22178,2869,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2869.8586360208
22177,821,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",875.1182703668
22176,1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",1268.06089949336
22171,864,"sort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",873.720419395728
22170,1285,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",1267.21288906599
22164,1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",1268.06089949336
22154,2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",2870.83199593825
22151,2553,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",2554.4730382213
22150,4370,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",4090.28910712921
22147,789,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",878.133877510872
22144,4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",4103.74843987626
22143,2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",3039.94438604757
22134,1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",1272.46693627871
22128,1396,"wordcount","ETH","RL1",10,10,3,65536,"None",256,"Azure L",1273.57542360838
22125,2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L",2961.59351670402
22123,860,"sort","ETH","RL1",10,10,3,65536,"None",128,"Azure L",880.929579453016
22121,2555,"kmeans","ETH","RL1",10,10,3,65536,"None",128,"Azure L",2643.67488756816
22120,4249,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L",4183.12052689899
22118,2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2869.8586360208
22115,2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2689.91233744549
22114,4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L",4196.57985964604
22111,863,"sort","ETH","RL1",10,10,3,65536,"None",32,"Azure L",876.736026539799
22109,2749,"kmeans","ETH","RL1",10,10,3,65536,"None",32,"Azure L",2713.03106238416
22108,4203,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L",4183.12052689899
22107,2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L",3013.82742959972
22102,4065,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",4011.87437144767
22101,2854,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2849.42699220278
22091,2196,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L",2764.94219502513
22088,2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2708.15459669494
22084,4414,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L",4106.08970067697
22081,751,"sort","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L",807.202787157138
22079,3015,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L",2834.29836984112
22077,3045,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",3006.12873088987
22075,703,"sort","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",808.600638128211
22074,1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",1285.33772108598
22073,1866,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2811.17964490246
22070,2769,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L",2711.07467644729
22068,1250,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",256,"Azure L",1285.38480344681
22065,2787,"dfsioe_read","ETH","RL1",8,10,3,65536,"BZIP2",128,"Azure L",2953.89481799417
22060,4317,"dfsioe_write","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L",4092.63036792993
22052,2646,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L",2707.66791673622
22050,1331,"wordcount","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L",1279.44873045524
22041,2542,"dfsioe_read","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L",2849.42699220278
22040,2721,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",256,"Azure L",2711.07467644729
22034,2753,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L",2709.12795661239
22033,717,"sort","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L",810.961768140808
22031,2649,"kmeans","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L",2764.50762309558
22024,4385,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L",4106.08970067697
22020,1329,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",32,"Azure L",1283.85476724059
22016,2688,"pagerank","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L",2708.15459669494
22014,1280,"wordcount","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L",1284.70277766795
22009,722,"sort","ETH","RL1",8,10,3,65536,"None",256,"Azure L",816.553172025097
22003,695,"sort","ETH","RL1",8,10,3,65536,"None",128,"Azure L",810.961768140808
21996,1281,"wordcount","ETH","RL1",8,10,3,65536,"None",64,"Azure L",1280.72320243341
21991,733,"sort","ETH","RL1",8,10,3,65536,"None",32,"Azure L",806.768215227591
21990,1334,"wordcount","ETH","RL1",8,10,3,65536,"None",32,"Azure L",1279.87519200605
21988,4514,"dfsioe_write","ETH","RL1",8,10,3,65536,"None",64,"Azure L",4185.46178769971
21987,3112,"dfsioe_read","ETH","RL1",8,10,3,65536,"None",64,"Azure L",3006.12873088987
21978,1399,"wordcount","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",1272.21303860882
21973,724,"sort","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L",845.568703789197
21971,2529,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",128,"Azure L",2487.25640546064
21964,2536,"dfsioe_write","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L",2587.44425977911
21961,769,"sort","ETH","RL1",10,10,2,65536,"Snappy",32,"Azure L",841.375150875981
21957,3195,"dfsioe_read","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",3133.04035283315
21955,734,"sort","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",842.773001847053
21951,2756,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L",2976.33861414607
21947,2577,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",256,"Azure L",2391.33132663236
21942,1300,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",128,"Azure L",1263.78001669597
21936,1277,"wordcount","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",1262.08399584124
21929,2745,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",32,"Azure L",2553.16240120302
21927,2954,"dfsioe_read","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",3133.04035283315
21925,714,"sort","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",839.322822773434
21922,2513,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",256,"Azure L",2657.4520054866
21913,757,"sort","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L",845.13413185965
21912,1300,"wordcount","ETH","RL1",10,10,2,65536,"ZLIB",128,"Azure L",1268.18605348132
21907,702,"sort","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L",842.338429917506
21904,2505,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L",2657.4520054866
21898,2590,"dfsioe_write","ETH","RL1",10,10,2,65536,"ZLIB",64,"Azure L",2657.4520054866
21888,1400,"wordcount","ETH","RL1",10,10,2,65536,"None",256,"Azure L",1267.59851995625
21883,731,"sort","ETH","RL1",10,10,2,65536,"None",128,"Azure L",845.13413185965
21882,1294,"wordcount","ETH","RL1",10,10,2,65536,"None",128,"Azure L",1264.20647824678
21879,2770,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",64,"Azure L",3133.04035283315
21874,2587,"dfsioe_write","ETH","RL1",10,10,2,65536,"None",32,"Azure L",2668.76152986275
21872,2891,"pagerank","ETH","RL1",10,10,2,65536,"None",32,"Azure L",2850.27387350592
21871,743,"sort","ETH","RL1",10,10,2,65536,"None",32,"Azure L",840.940578946434
21870,1276,"wordcount","ETH","RL1",10,10,2,65536,"None",32,"Azure L",1261.66244696468
21866,2935,"pagerank","ETH","RL1",10,10,2,65536,"None",64,"Azure L",2850.76055346465
21865,746,"sort","ETH","RL1",10,10,2,65536,"None",64,"Azure L",842.338429917506
21860,2685,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L",2691.97659389114
21853,667,"sort","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L",775.600892476989
21851,2648,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",128,"Azure L",2697.29099033492
21850,2587,"dfsioe_write","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2649.3212080038
21849,2985,"dfsioe_read","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",3125.3416541233
20372,2990,"dfsioe_read","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",3151.45861057115
20369,1336,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",1278.51280700648
20368,3002,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",2766.64716515092
20367,2640,"dfsioe_write","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2649.3212080038
20365,2612,"pagerank","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2689.05651413879
20363,1279,"wordcount","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",1279.36081743385
20361,2604,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L",2719.32895371129
20357,1241,"wordcount","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L",1279.40789979469
20353,2749,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L",2690.02987405624
20350,876,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",128,"Azure L",2693.84081126131
20349,2534,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",2719.32895371129
20346,648,"sort","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",769.355011461226
20345,1282,"wordcount","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",1274.31983723048
20342,2967,"dfsioe_read","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L",3151.45861057115
20340,751,"sort","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L",767.957160490154
20338,2995,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L",2763.1969860773
20332,2797,"kmeans","ETH","RL1",8,10,2,65536,"BZIP2",64,"Azure L",2740.07826113864
20331,2534,"dfsioe_write","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L",2719.32895371129
20315,1283,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",1278.72587401583
20314,2792,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",2743.09386828271
20311,2751,"pagerank","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L",2688.56983418007
20310,662,"sort","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L",770.972767634226
20309,1338,"wordcount","ETH","RL1",8,10,2,65536,"ZLIB",32,"Azure L",1277.87786358846
20305,2696,"pagerank","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",2689.05651413879
20302,2785,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",2743.09386828271
20300,3035,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",256,"Azure L",2968.63991543621
20299,2696,"pagerank","ETH","RL1",8,10,2,65536,"None",256,"Azure L",2691.97659389114
20296,2714,"kmeans","ETH","RL1",8,10,2,65536,"None",256,"Azure L",2693.58336799758
20289,2541,"dfsioe_write","ETH","RL1",8,10,2,65536,"None",64,"Azure L",2807.36780230042
20288,2891,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",64,"Azure L",3125.3416541233
20286,624,"sort","ETH","RL1",8,10,2,65536,"None",64,"Azure L",772.370618605298
20281,2706,"pagerank","ETH","RL1",8,10,2,65536,"None",32,"Azure L",2688.56983418007
20278,3008,"kmeans","ETH","RL1",8,10,2,65536,"None",32,"Azure L",2855.41444256824
20274,590,"sort","ETH","RL1",8,10,2,65536,"None",64,"Azure L",772.370618605298
20271,1373,"dfsioe_write","ETH","RL1",10,10,1,65536,"Snappy",256,"Azure L",1492.94448215948
20269,2825,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",256,"Azure L",2834.58255066084
20251,2860,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",32,"Azure L",2831.17579094977
20238,722,"sort","ETH","RL1",10,10,1,65536,"BZIP2",256,"Azure L",811.914481006502
20233,2899,"pagerank","ETH","RL1",10,10,1,65536,"BZIP2",128,"Azure L",2832.63583082594
