"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster"
22227,1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
22226,3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L"
22225,6896,"pagerank","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
22223,1308,"wordcount","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
22222,2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L"
22221,4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
22220,2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
22219,2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
22217,1401,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
22216,2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L"
22215,4063,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
22214,2945,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
22213,2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
22211,2581,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L"
22210,4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22209,2869,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22208,2847,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22206,1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22205,2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22204,4188,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
22203,3062,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
22202,2804,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
22200,1277,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
22199,2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L"
22198,4260,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22197,3061,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22196,2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22194,1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22193,2598,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L"
22192,4028,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
22191,2841,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
22190,2881,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
22188,1392,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
22187,2577,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L"
22186,3917,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
22185,2691,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
22184,2840,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
22182,1293,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
22181,2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L"
22180,4306,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22179,3006,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22178,2869,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22176,1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22175,2606,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22174,4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
22173,3004,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
22172,2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
22170,1285,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
22169,2746,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L"
22168,4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22167,2849,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22166,2986,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22164,1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22163,2604,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L"
22162,4251,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
22161,2682,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
22160,2894,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
22158,1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
22157,2577,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L"
22156,4204,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
22155,2725,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
22154,2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
22152,1305,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
22151,2553,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L"
22150,4370,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22149,2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22148,2914,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22146,1266,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22145,2602,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22144,4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22143,2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22142,2854,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22140,1288,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22139,2750,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L"
22138,4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22137,2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22136,2907,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22134,1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22133,1751,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L"
22132,4399,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22131,2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22130,2804,"pagerank","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22128,1396,"wordcount","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22127,2596,"kmeans","ETH","RL1",10,10,3,65536,"None",256,"Azure L"
22126,4156,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22125,2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
22124,2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L"
