"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
1427,2009,"pagerank","IB","HDD",12,5,1,4096,"None",128,"Local 1",2121.9395564687
891,1083,"terasort","ETH","SSD",12,5,1,131072,"None",32,"Local 1",1094.57214461863
253,1259,"kmeans","IB","SSD",12,10,1,65536,"None",64,"Local 1",1123.90747596498
18221,1267,"wordcount","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L",1300.94003404898
909,1069,"terasort","ETH","SSD",12,10,1,131072,"None",256,"Local 1",1096.48949525774
1477,2235,"pagerank","IB","HDD",12,10,1,32768,"None",64,"Local 1",2112.14744412613
22205,2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2568.57505134193
21995,2797,"kmeans","ETH","RL1",8,10,3,65536,"None",64,"Azure L",2822.72434369185
4124,2484,"terasort","ETH","RL1",8,10,2,65536,"ZLIB",64,"Azure L",2900.72501271139
1883,1108,"bayes","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1",1114.78451892418
21938,2853,"pagerank","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2837.38800836418
10997,4733,"dfsioe_write","ETH","RL3",8,10,3,65536,"ZLIB",64,"Azure L",4514.61781717604
4243,2604,"terasort","ETH","RL2",10,10,1,65536,"ZLIB",32,"Azure L",2670.4370701274
18673,1287,"wordcount","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L",1293.68063006104
2150,1221,"dfsioe_read","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1",1292.94208015748
1241,4811,"terasort","IB","HDD",12,10,3,65536,"None",32,"Local 1",4332.16697810009
4279,2628,"terasort","ETH","RL2",10,10,2,65536,"BZIP2",32,"Azure L",2668.7998123154
18465,1338,"dfsioe_write","ETH","RL2",10,10,1,65536,"BZIP2",64,"Azure L",1575.20779227602
18875,2965,"kmeans","ETH","RL1",8,10,1,65536,"None",32,"Azure L",2731.90743072572
1528,1122,"bayes","IB","HDD",12,10,1,65536,"None",128,"Local 1",1165.99144406407
18498,1368,"dfsioe_write","ETH","RL2",10,10,1,65536,"Snappy",32,"Azure L",1587.39696277494
18712,2834,"dfsioe_read","ETH","RL2",8,10,3,65536,"BZIP2",128,"Azure L",2956.21401650339
1963,1373,"kmeans","IB","HDD",12,10,1,65536,"Snappy",256,"Local 1",1392.46781622369
10923,1345,"wordcount","ETH","RL3",8,10,2,65536,"ZLIB",32,"Azure L",1297.17214657329
20224,2568,"kmeans","ETH","RL1",10,10,1,65536,"BZIP2",64,"Azure L",2451.81905289712
18605,2556,"dfsioe_write","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L",2610.54015561868
4269,2613,"terasort","ETH","RL2",8,10,2,65536,"Snappy",128,"Azure L",2678.322099711
4197,2752,"terasort","ETH","RL3",10,10,1,65536,"Snappy",128,"Azure L",2679.13706576421
18283,2644,"pagerank","ETH","RL2",8,10,1,65536,"None",64,"Azure L",2769.42878117321
1454,1310,"kmeans","IB","HDD",12,5,1,65536,"None",64,"Local 1",1350.37840160609
2044,1096,"bayes","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",1132.4259097388
10973,2877,"dfsioe_read","ETH","RL3",8,10,3,65536,"None",64,"Azure L",2964.83457975621
1288,3805,"terasort","ETH","HDD",12,5,1,4096,"None",64,"Local 1",3948.99256175675
685,2422,"dfsioe_write","IB","HDD",16,10,2,65536,"ZLIB",64,"Local 1",2525.84196659311
1184,5337,"terasort","IB","HDD",12,20,1,65536,"None",64,"Local 1",3868.37650257018
21857,2693,"kmeans","ETH","RL1",8,10,2,65536,"Snappy",256,"Azure L",2507.36407347116
1578,1097,"bayes","IB","HDD",12,20,1,131072,"None",64,"Local 1",1127.92871454204
676,2323,"dfsioe_write","IB","HDD",12,10,2,65536,"None",64,"Local 1",2488.11146306202
955,1023,"terasort","ETH","SSD",12,5,3,131072,"None",128,"Local 1",1073.89975740128
10734,2622,"pagerank","ETH","RL3",8,10,1,65536,"BZIP2",256,"Azure L",2658.83242602665
1261,4385,"terasort","IB","HDD",12,50,3,32768,"None",32,"Local 1",4117.19082026924
18531,2824,"pagerank","ETH","RL2",10,10,2,65536,"None",128,"Azure L",2863.04331682058
22158,1396,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",1296.46148419338
1900,1273,"kmeans","IB","HDD",12,10,1,65536,"BZIP2",64,"Local 1",1341.97245784279
1145,3577,"terasort","IB","HDD",12,10,1,131072,"None",32,"Local 1",3856.64131722225
46,693,"terasort","IB","SSD",24,10,1,16384,"None",0,"Local 1",659.186286503031
1228,4900,"terasort","IB","HDD",12,5,3,65536,"None",64,"Local 1",4424.51822263458
18236,3050,"dfsioe_read","ETH","RL3",10,10,3,65536,"BZIP2",64,"Azure L",2975.71985479301
22030,4213,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L",4051.42906123203
1676,1122,"bayes","IB","HDD",12,50,1,4096,"None",64,"Local 1",1127.92871454204
2093,1104,"bayes","ETH","HDD",12,10,1,65536,"Snappy",64,"Local 1",1132.4259097388
1225,4581,"terasort","IB","HDD",12,5,3,65536,"None",32,"Local 1",4359.03899782894
1077,1125,"bayes","ETH","SSD",12,20,3,4096,"None",64,"Local 1",1055.81418295693
2100,1125,"bayes","ETH","HDD",12,10,1,65536,"Snappy",128,"Local 1",1170.48863926082
1198,4334,"terasort","IB","HDD",12,50,1,32768,"None",128,"Local 1",3838.10283380833
885,991,"terasort","IB","SSD",12,50,3,65536,"None",256,"Local 1",1010.32235051971
2167,611,"wordcount","IB","SSD",12,10,1,65536,"ZLIB",128,"Local 1",600.833481143411
20234,3735,"dfsioe_read","ETH","RL1",10,10,1,65536,"BZIP2",128,"Azure L",3671.7724007446
4433,4040,"terasort","ETH","HDD",8,10,1,65536,"None",64,"Azure L",3994.39787224069
4315,2668,"terasort","ETH","RL2",10,10,3,65536,"Snappy",32,"Azure L",2632.028944811
4284,2817,"terasort","ETH","RL2",10,10,2,65536,"Snappy",64,"Azure L",2667.28717627927
18409,2899,"pagerank","ETH","RL2",10,10,1,65536,"None",32,"Azure L",2764.58327026972
10760,2354,"dfsioe_write","ETH","RL3",8,10,1,65536,"Snappy",128,"Azure L",2712.29509687587
30,737,"terasort","ETH","SSD",24,100,2,65536,"None",0,"Local 1",743.659650983632
422,983,"kmeans","IB","SSD",24,10,2,65536,"ZLIB",64,"Local 1",865.347789359897
82,1940,"pagerank","IB","SSD",12,10,1,65536,"None",0,"Local 1",1902.68777240413
1745,3079,"pagerank","ETH","HDD",12,10,3,131072,"None",64,"Local 1",3204.67554709743
562,569,"dfsioe_read","IB","SSD",16,10,1,65536,"None",64,"Local 1",1210.09189850715
20176,2620,"kmeans","ETH","RL1",10,10,1,65536,"None",256,"Azure L",2397.53229815133
20206,2615,"kmeans","ETH","RL1",10,10,1,65536,"ZLIB",256,"Azure L",2379.08329558719
132,559,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1",778.155849157213
4,2290,"terasort","ETH","HDD",12,10,1,65536,"None",0,"Local 1",3791.16209241661
1525,983,"wordcount","IB","HDD",12,10,1,65536,"None",128,"Local 1",960.076531684961
722,1175,"dfsioe_write","ETH","HDD",24,10,1,65536,"None",64,"Local 1",1389.98845965374
20276,2811,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",64,"Azure L",3146.36826150579
140,6647,"dfsioe_read","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1",5315.30656829333
18262,2597,"kmeans","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L",2618.74121774342
1044,1184,"kmeans","ETH","SSD",12,20,3,131072,"None",256,"Local 1",1130.28957361535
1174,3923,"terasort","IB","HDD",24,10,1,65536,"None",64,"Local 1",3705.2885513895
4398,2981,"terasort","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2853.53105254192
20101,2603,"pagerank","ETH","RL1",8,10,1,65536,"BZIP2",32,"Azure L",2593.65894546621
10950,2627,"dfsioe_write","ETH","RL3",10,10,2,65536,"Snappy",32,"Azure L",3328.03551040564
1735,3594,"pagerank","ETH","HDD",12,10,3,131072,"None",128,"Local 1",3204.67554709743
770,991,"terasort","IB","SSD",12,5,1,4096,"None",256,"Local 1",1016.8034826744
18594,1298,"kmeans","ETH","RL2",10,10,2,65536,"BZIP2",256,"Azure L",2346.6884463588
21876,1270,"wordcount","ETH","RL1",10,10,2,65536,"None",64,"Azure L",1287.39256810096
62,643,"terasort","IB","SSD",24,10,1,16384,"None",0,"Local 1",659.186286503031
1200,4205,"terasort","IB","HDD",12,50,1,32768,"None",64,"Local 1",3707.14438419705
18702,2805,"kmeans","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L",2713.50249267692
1522,2170,"pagerank","IB","HDD",12,10,1,65536,"None",32,"Local 1",2107.25138795484
1832,1557,"kmeans","ETH","HDD",12,20,3,4096,"None",128,"Local 1",1647.19265849049
10956,2539,"dfsioe_write","ETH","RL3",10,10,2,65536,"Snappy",64,"Azure L",3342.19898652265
852,965,"terasort","IB","SSD",12,10,3,65536,"None",128,"Local 1",1014.27497598746
22174,4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",4059.37330847307
22133,1751,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",2651.47380690403
10784,2292,"dfsioe_write","ETH","RL3",10,10,1,65536,"None",64,"Azure L",2881.47152982255
1104,789,"wordcount","ETH","SSD",12,50,3,32768,"None",32,"Local 1",686.211922722016
480,785,"kmeans","ETH","HDD",16,10,3,65536,"ZLIB",64,"Local 1",1240.45108134084
139,588,"hivebench_join","IB","HDD",12,10,1,65536,"ZLIB",0,"Local 1",1281.15618252057
18791,2603,"kmeans","ETH","RL2",10,10,3,65536,"ZLIB",64,"Azure L",2643.59971401535
1224,3984,"terasort","IB","HDD",12,5,3,4096,"None",64,"Local 1",4424.51822263458
22085,2791,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2721.3765855656
20218,2711,"kmeans","ETH","RL1",10,10,1,65536,"BZIP2",32,"Azure L",2477.7581383758
109,848,"kmeans","ETH","HDD",12,10,1,65536,"None",0,"Local 1",1294.63356860365
1380,1003,"wordcount","IB","HDD",12,5,1,32768,"None",32,"Local 1",915.071059954725
1344,1139,"kmeans","ETH","SSD",12,50,3,4096,"None",128,"Local 1",1203.92907872018
1038,1118,"kmeans","ETH","SSD",12,20,3,131072,"None",128,"Local 1",1203.92907872018
1275,3990,"terasort","IB","HDD",12,50,3,65536,"None",256,"Local 1",4575.54539390872
1520,1006,"wordcount","IB","HDD",12,10,1,65536,"None",32,"Local 1",917.065762879129
18387,1384,"dfsioe_write","ETH","RL2",8,10,1,65536,"Snappy",64,"Azure L",1505.22453099524
2233,1105,"bayes","IB","SSD",12,10,1,65536,"Snappy",64,"Local 1",1049.20696783622
1557,2057,"pagerank","IB","HDD",12,20,1,32768,"None",64,"Local 1",2112.14744412613
710,1169,"dfsioe_write","ETH","HDD",12,10,1,65536,"None",64,"Local 1",1466.97185503588
2057,2096,"pagerank","ETH","HDD",12,10,1,65536,"BZIP2",64,"Local 1",2027.86811596798
2013,1024,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",32,"Local 1",875.671813395643
10988,4549,"dfsioe_write","ETH","RL3",8,10,3,65536,"None",128,"Azure L",4547.03077813464
20139,1381,"dfsioe_write","ETH","RL1",8,10,1,65536,"Snappy",64,"Azure L",1502.91662679056
4128,2729,"terasort","ETH","RL1",8,10,3,65536,"ZLIB",64,"Azure L",2832.76901282779
1354,1276,"kmeans","ETH","SSD",12,50,3,4096,"None",64,"Local 1",1240.7488312726
2130,461,"dfsioe_write","IB","SSD",12,10,1,65536,"None",64,"Local 1",550.480988125437
1579,1487,"kmeans","IB","HDD",12,20,1,4096,"None",32,"Local 1",1347.32523980975
18879,4140,"dfsioe_read","ETH","RL1",8,10,1,65536,"None",32,"Azure L",3673.46546479309
1580,1017,"wordcount","IB","HDD",12,20,1,4096,"None",32,"Local 1",921.055168727936
4341,2791,"terasort","ETH","RL1",10,10,1,65536,"ZLIB",128,"Azure L",3062.8176393152
18661,1282,"wordcount","ETH","RL2",8,10,3,65536,"ZLIB",64,"Azure L",1293.68063006104
18540,2561,"kmeans","ETH","RL2",10,10,2,65536,"ZLIB",64,"Azure L",2585.22171479295
20343,2588,"dfsioe_write","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L",2618.11442667438
2176,1908,"pagerank","IB","SSD",12,10,1,65536,"ZLIB",256,"Local 1",1952.43841441106
1127,3778,"terasort","IB","HDD",12,5,1,32768,"None",256,"Local 1",4341.86791059059
20296,2714,"kmeans","ETH","RL1",8,10,2,65536,"None",256,"Azure L",2608.71183159741
4399,2917,"terasort","ETH","RL1",10,10,3,65536,"None",32,"Azure L",3008.84288799727
1954,7950,"dfsioe_read","IB","HDD",12,10,1,65536,"Snappy",64,"Local 1",6801.71741566665
20341,2716,"pagerank","ETH","RL1",8,10,2,65536,"BZIP2",32,"Azure L",2692.11899201706
2199,1263,"dfsioe_read","IB","SSD",12,10,1,65536,"BZIP2",64,"Local 1",1292.94208015748
4364,3072,"terasort","ETH","RL1",8,10,2,65536,"Snappy",64,"Azure L",2913.52884933874
4233,2697,"terasort","ETH","RL2",8,10,1,65536,"BZIP2",128,"Azure L",2715.0929672154
330,528,"dfsioe_write","IB","SSD",24,10,1,65536,"None",64,"Local 1",497.923810565091
10662,2676,"pagerank","ETH","RL3",8,10,1,65536,"None",64,"Azure L",2855.67762802467
