"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
10855,22976,"dfsioe_read","ETH","RL3",10,10,1,65536,"BZIP2",256,"Azure L",3568.47505146611
18863,2594,"kmeans","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L",2405.0664455812
21903,2915,"dfsioe_read","ETH","RL1",10,10,2,65536,"ZLIB",32,"Azure L",3185.73670290415
9,655,"terasort","IB","SSD",24,10,1,65536,"None",0,"Local 1",792.207971892078
4117,2170,"terasort","ETH","RL2",8,10,3,65536,"BZIP2",64,"Azure L",2644.57650427887
1284,3928,"terasort","ETH","HDD",12,5,1,131072,"None",64,"Local 1",3948.99256175675
18263,1269,"wordcount","ETH","RL3",10,10,3,65536,"Snappy",64,"Azure L",1300.94003404898
1033,788,"wordcount","ETH","SSD",12,20,3,131072,"None",32,"Local 1",686.211922722016
1866,873,"wordcount","IB","HDD",12,10,1,65536,"ZLIB",64,"Local 1",851.649765408966
775,1023,"terasort","IB","SSD",12,5,1,65536,"None",64,"Local 1",1035.81476959945
2209,581,"wordcount","IB","SSD",12,10,1,65536,"BZIP2",256,"Local 1",627.692868913823
1877,6912,"dfsioe_read","IB","HDD",12,10,1,65536,"ZLIB",32,"Local 1",5377.46102366975
4224,2966,"terasort","ETH","RL2",8,10,1,65536,"None",64,"Azure L",2682.98462959527
18389,1270,"wordcount","ETH","RL2",8,10,1,65536,"Snappy",128,"Azure L",1288.12718615993
1448,1121,"bayes","IB","HDD",12,5,1,65536,"None",128,"Local 1",1165.99144406407
1244,4424,"terasort","IB","HDD",12,10,3,65536,"None",64,"Local 1",4397.64620290572
10890,25102,"dfsioe_read","ETH","RL3",8,10,2,65536,"None",64,"Azure L",3118.18066842966
20279,1329,"wordcount","ETH","RL1",8,10,2,65536,"None",32,"Azure L",1292.57086943156
11017,1239,"wordcount","ETH","RL3",8,10,3,65536,"ZLIB",256,"Azure L",1310.27379142282
327,1564,"pagerank","IB","SSD",24,10,1,65536,"None",64,"Local 1",1850.28598576628
4173,2303,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",128,"Azure L",2569.16037540074
2149,1094,"bayes","IB","SSD",12,10,1,65536,"ZLIB",64,"Local 1",1031.56557702161
904,1017,"terasort","ETH","SSD",12,10,1,32768,"None",128,"Local 1",1063.69156255685
10833,2736,"kmeans","ETH","RL3",10,10,1,65536,"BZIP2",32,"Azure L",2527.92430477729
10690,1293,"wordcount","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L",1292.69843279896
10932,26134,"dfsioe_read","ETH","RL3",8,10,2,65536,"ZLIB",64,"Azure L",3118.18066842966
21891,2668,"dfsioe_read","ETH","RL1",10,10,2,65536,"None",256,"Azure L",3139.06336523387
18280,2769,"kmeans","ETH","RL2",8,10,1,65536,"None",64,"Azure L",2698.09425235836
2,826,"terasort","ETH","SSD",12,10,1,65536,"None",0,"Local 1",1004.16156538014
2111,680,"wordcount","IB","SSD",12,10,1,65536,"None",64,"Local 1",660.505466885433
18401,1276,"wordcount","ETH","RL2",10,10,1,65536,"None",64,"Azure L",1279.27366440129
4362,2801,"terasort","ETH","RL1",8,10,2,65536,"BZIP2",256,"Azure L",2921.48705242552
2017,9261,"dfsioe_read","ETH","HDD",12,10,1,65536,"ZLIB",32,"Local 1",5377.46102366975
821,928,"terasort","IB","SSD",12,50,1,65536,"None",128,"Local 1",1021.64829156867
268,662,"wordcount","IB","HDD",12,10,1,65536,"None",64,"Local 1",893.043714892452
22078,4466,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",4051.42906123203
10860,2865,"pagerank","ETH","RL3",10,10,1,65536,"Snappy",64,"Azure L",2804.38246427668
1252,4624,"terasort","IB","HDD",12,20,3,131072,"None",64,"Local 1",4343.90216344802
10909,5433,"dfsioe_write","ETH","RL3",8,10,2,65536,"None",128,"Azure L",4582.18474422209
4103,2370,"terasort","ETH","RL3",8,10,2,65536,"Snappy",64,"Azure L",2844.50508678286
20228,4231,"dfsioe_read","ETH","RL1",10,10,1,65536,"BZIP2",64,"Azure L",3669.11966638234
10946,1278,"wordcount","ETH","RL3",10,10,2,65536,"Snappy",32,"Azure L",1294.30933750585
