"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
22226,3090,"kmeans","ETH","RR3",8,10,1,65536,"None",32,"Azure L",2833.70197178363
22222,2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L",2807.76288630496
22211,2581,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L",2516.69688038458
22208,2847,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2935.84805491503
22204,4188,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",4059.37330847307
22203,3062,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",3089.53946447664
22202,2804,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",2935.84805491503
22199,2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",2594.5141368206
22198,4260,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",4045.90190530364
22190,2881,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L",2935.84805491503
22185,2691,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L",3113.76149985823
22178,2869,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2935.84805491503
22172,2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",2935.84805491503
22168,4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",4045.90190530364
22163,2604,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2568.57505134193
22154,2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",2935.84805491503
22146,1266,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",1289.99053588699
22144,4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",4059.37330847307
22124,2925,"pagerank","ETH","RL1",10,10,3,65536,"None",128,"Azure L",2982.29770775953
22122,1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L",1295.10175602849
22118,2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2982.29770775953
22115,2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2669.92280946817
22114,4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L",4118.72907577054
22110,1282,"wordcount","ETH","RL1",10,10,3,65536,"None",32,"Azure L",1291.8662818753
22108,4203,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L",4105.2576726011
22106,2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2982.29770775953
22102,4065,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",3970.60064221544
22101,2854,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",3099.17430133632
22097,2727,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2565.74207269356
22092,1259,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L",1301.79829501834
22088,2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2790.57903856792
22077,3045,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",3091.21609824954
22076,2686,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2790.57903856792
22074,1292,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",1299.64131224954
