"Maps:IO.SFac:Rep:IO.FBuf:Comp:Blk.size","Variance","Benchmarks","Missing"
"12: 10:1:  4096:None:  0",31131666.125,8,"dfsioe_read,sort"
"12: 10:1: 65536:BZIP2:128",6514758.14285714,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:Snappy:256",5835560.57142857,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:BZIP2:256",5149139.80952381,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:ZLIB:128",5086763.14285714,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:Snappy:128",4957119.23809524,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:ZLIB: 32",4479571.80952381,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:BZIP2: 32",4416774.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:Snappy: 64",3942589.47619048,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:ZLIB:256",3428983.66666667,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:BZIP2: 64",3375271.95238095,7,"hivebench_agregation,hivebench_join,terasort"
"12: 10:1: 65536:Snappy: 32",2946557.33333333,7,"hivebench_agregation,hivebench_join,terasort"
"12:  5:3: 65536:None: 64",2581669.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:131072:None:128",2380236.66666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:131072:None:256",2316663.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:131072:None: 64",1858167.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:3: 65536:None:256",1842260.66666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3:131072:None: 32",1833306.3,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3: 32768:None: 32",1817049.5,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:3: 65536:None:128",1597229.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3: 32768:None: 64",1469185.36666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:1: 32768:None: 64",1240761.9,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3: 32768:None:128",1239621.46666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 32768:None: 64",1202523.86666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 10:3: 32768:None:256",1195529.6,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 32768:None: 64",1019827.06666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:3: 65536:None: 32",1012005.33333333,3,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,kmeans,sort,wordcount"
"12: 20:1: 32768:None: 64",1004524.56666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 32768:None: 32",975788.566666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12:  5:1: 32768:None:256",880762.966666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1:131072:None:128",795283.766666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1:131072:None:256",763113.466666667,6,"dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join"
"12: 50:1: 65536:None:256",700536.666666667,4,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank"
