"Config","Variance","Benchmarks","Missing"
"ETH:HDD:12: 20:3:  4096:None:128:Local 1",1892244611.33333,4,"bayes,dfsioe_read,dfsioe_write,hivebench_agregation,hivebench_join,pagerank"
"ETH:SSD:12: 10:1: 65536:None:256:Local 1",225246227.142857,8,"hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:ZLIB:256:Azure L",104784779.142857,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:None:128:Azure L",101142695.904762,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:None:256:Azure L",94182489.952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:ZLIB:128:Azure L",91960887.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:None: 64:Azure L",74891315.5714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:ZLIB: 64:Azure L",73777012.952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:2: 65536:ZLIB: 32:Azure L",68950773.2857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:BZIP2:256:Azure L",62492299,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:ZLIB:128:Azure L",61202145.2857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:Snappy:256:Azure L",54873509.1,6,"bayes,hivebench_agregation,hivebench_join,pagerank"
"ETH:RL3: 8: 10:2: 65536:None: 32:Azure L",49550986.2857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:Snappy:128:Azure L",42852590.2857143,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:None:256:Azure L",41871006.5714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:BZIP2: 64:Azure L",41865329.1428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:BZIP2:128:Azure L",39218233.952381,7,"bayes,hivebench_agregation,hivebench_join"
"IB:SSD:12: 10:1:  4096:None:  0:Local 1",31131666.125,8,"dfsioe_read,sort"
"ETH:RL3:10: 10:1: 65536:None:128:Azure L",29816073.6190476,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:ZLIB:256:Azure L",29387163.4761905,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:BZIP2:256:Azure L",27767541.8095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:BZIP2: 64:Azure L",24602126.8095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:None:128:Azure L",24177544.6666667,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:Snappy:256:Azure L",24065901.5714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:Snappy:128:Azure L",22827266.8095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:Snappy: 64:Azure L",21362104.952381,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:Snappy: 64:Azure L",20555568.6190476,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:BZIP2:128:Azure L",20009857.8095238,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:ZLIB: 64:Azure L",19969447.9047619,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:None:256:Azure L",19747074.1428571,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:Snappy: 32:Azure L",19575421.5714286,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3:10: 10:1: 65536:ZLIB: 32:Azure L",18710356,7,"bayes,hivebench_agregation,hivebench_join"
"ETH:RL3: 8: 10:1: 65536:ZLIB:128:Azure L",17968270.1428571,7,"bayes,hivebench_agregation,hivebench_join"
