"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
816,1026,"terasort","IB","SSD",12,50,1,4096,"None",32,"Local 1",1026
1511,2339,"sort","IB","HDD",12,10,1,4096,"None",256,"Local 1",2339
20326,2704,"kmeans","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L",2704
18879,4140,"dfsioe_read","ETH","RL1",8,10,1,65536,"None",32,"Azure L",4140
1756,1146,"bayes","ETH","HDD",12,10,3,4096,"None",128,"Local 1",1146
22049,3002,"kmeans","ETH","RL1",8,10,3,65536,"BZIP2",32,"Azure L",3002
907,1015,"terasort","ETH","SSD",12,10,1,131072,"None",32,"Local 1",1015
142,556,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",556
22163,2604,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2605
10812,2828,"pagerank","ETH","RL3",10,10,1,65536,"ZLIB",64,"Azure L",2828
18900,1281,"wordcount","ETH","RL1",8,10,1,65536,"ZLIB",64,"Azure L",1281
18733,1284,"wordcount","ETH","RL2",8,10,3,65536,"Snappy",64,"Azure L",1284
1609,2630,"sort","IB","HDD",12,20,1,65536,"None",256,"Local 1",2630
508,969,"terasort","ETH","SSD",12,10,2,65536,"None",64,"Local 1",969
782,950,"terasort","IB","SSD",12,10,1,131072,"None",256,"Local 1",950
1397,2074,"pagerank","IB","HDD",12,5,1,32768,"None",64,"Local 1",2074
20330,2983,"dfsioe_read","ETH","RL1",8,10,2,65536,"ZLIB",256,"Azure L",2983
22058,2753,"pagerank","ETH","RL1",8,10,3,65536,"BZIP2",64,"Azure L",2753
18206,2975,"dfsioe_read","ETH","RL3",10,10,3,65536,"ZLIB",64,"Azure L",2975
1772,1605,"kmeans","ETH","HDD",12,10,3,65536,"None",128,"Local 1",1605
1549,1370,"kmeans","IB","HDD",12,20,1,32768,"None",256,"Local 1",1370
18866,2853,"pagerank","ETH","RL2",10,10,3,65536,"Snappy",256,"Azure L",2853
365,530,"wordcount","ETH","SSD",24,10,2,65536,"None",64,"Local 1",530
4202,3084,"terasort","ETH","RL3",8,10,2,65536,"None",256,"Azure L",3084
1283,4286,"terasort","ETH","HDD",12,5,1,131072,"None",256,"Local 1",4286
634,1831,"dfsioe_write","ETH","SSD",16,10,2,65536,"ZLIB",64,"Local 1",1831
20257,2817,"pagerank","ETH","RL1",10,10,1,65536,"Snappy",64,"Azure L",2793
214,588,"wordcount","IB","SSD",12,10,1,65536,"None",128,"Local 1",588
87,464,"dfsioe_write","IB","SSD",12,10,1,65536,"None",0,"Local 1",464
2032,1119,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",128,"Local 1",1119
12,2828,"terasort","ETH","HDD",24,10,1,65536,"None",0,"Local 1",2828
93,1211,"bayes","ETH","SSD",12,10,1,65536,"None",0,"Local 1",1211
510,877,"terasort","ETH","SSD",16,10,2,65536,"None",64,"Local 1",877
713,1153,"dfsioe_write","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1",1153
648,2516,"dfsioe_write","ETH","SSD",16,10,3,65536,"None",64,"Local 1",2516
1259,5070,"terasort","IB","HDD",12,20,3,65536,"None",256,"Local 1",5070
429,800,"kmeans","ETH","SSD",12,10,1,65536,"None",64,"Local 1",800
22174,4237,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",4237
18731,4626,"dfsioe_write","ETH","RL2",8,10,3,65536,"Snappy",32,"Azure L",4626
