"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
392,699,"wordcount","ETH","HDD",12,10,1,65536,"ZLIB",64,"Local 1",556
10803,2745,"kmeans","ETH","RL3",10,10,1,65536,"ZLIB",32,"Azure L",3205
708,5346,"dfsioe_write","IB","HDD",24,10,3,65536,"ZLIB",64,"Local 1",5519
1122,974,"terasort","ETH","SSD",12,50,3,65536,"None",128,"Local 1",953
1300,4734,"terasort","ETH","HDD",12,20,3,131072,"None",64,"Local 1",5266
1080,789,"wordcount","ETH","SSD",12,20,3,65536,"None",32,"Local 1",664
22106,2855,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2696
241,1410,"dfsioe_write","IB","HDD",12,10,1,65536,"None",128,"Local 1",2323
125,710,"sort","ETH","SSD",12,10,1,65536,"ZLIB",0,"Local 1",672
61,687,"terasort","IB","SSD",24,10,1,4096,"None",0,"Local 1",655
383,511,"wordcount","IB","HDD",24,10,2,65536,"None",64,"Local 1",603
20179,2936,"pagerank","ETH","RL1",10,10,1,65536,"None",256,"Azure L",2851
20294,3080,"dfsioe_read","ETH","RL1",8,10,2,65536,"None",128,"Azure L",3003
1159,4760,"terasort","IB","HDD",12,20,1,32768,"None",256,"Local 1",4392
1409,1372,"kmeans","IB","HDD",12,5,1,131072,"None",256,"Local 1",1407
4382,2957,"terasort","ETH","RL1",10,10,2,65536,"Snappy",256,"Azure L",3109
4241,2617,"terasort","ETH","RL2",10,10,1,65536,"None",128,"Azure L",2061
646,975,"sort","ETH","SSD",16,10,3,65536,"None",64,"Local 1",935
18403,2897,"pagerank","ETH","RL2",10,10,1,65536,"None",64,"Azure L",2863
22036,3937,"dfsioe_write","ETH","RL1",8,10,3,65536,"ZLIB",128,"Azure L",4004
20370,657,"sort","ETH","RL1",8,10,2,65536,"Snappy",32,"Azure L",731
1331,973,"sort","ETH","SSD",12,50,3,131072,"None",256,"Local 1",954
18349,2715,"pagerank","ETH","RL2",8,10,1,65536,"BZIP2",32,"Azure L",2843
4145,5211,"terasort","ETH","R2",8,10,1,65536,"BZIP2",64,"Azure L",2948
10705,16272,"dfsioe_read","ETH","RL3",8,10,1,65536,"ZLIB",256,"Azure L",1799.66666666667
1275,3990,"terasort","IB","HDD",12,50,3,65536,"None",256,"Local 1",5070
353,511,"wordcount","IB","SSD",24,10,3,65536,"None",64,"Local 1",500
4177,2506,"terasort","ETH","RL3",8,10,1,65536,"BZIP2",128,"Azure L",625
18593,2392,"dfsioe_write","ETH","RL2",10,10,2,65536,"BZIP2",128,"Azure L",2565
1319,4696,"terasort","ETH","HDD",12,10,1,65536,"None",64,"Local 1",4293
1344,1139,"kmeans","ETH","SSD",12,50,3,4096,"None",128,"Local 1",1127
18379,2604,"pagerank","ETH","RL2",8,10,1,65536,"Snappy",32,"Azure L",2930
277,1359,"dfsioe_write","IB","HDD",12,10,1,65536,"None",64,"Local 1",2323
640,1747,"dfsioe_write","ETH","SSD",24,10,2,65536,"ZLIB",64,"Local 1",1831
1412,2166,"pagerank","IB","HDD",12,5,1,131072,"None",256,"Local 1",2157
20273,1279,"wordcount","ETH","RL1",8,10,2,65536,"None",64,"Azure L",1291
702,3692,"dfsioe_write","IB","HDD",16,10,3,65536,"ZLIB",64,"Local 1",5519
1362,2137,"pagerank","ETH","SSD",12,50,3,65536,"None",32,"Local 1",2003
798,949,"terasort","IB","SSD",12,20,1,131072,"None",256,"Local 1",950
627,956,"dfsioe_read","ETH","SSD",12,10,2,65536,"ZLIB",64,"Local 1",3314
1150,3752,"terasort","IB","HDD",12,10,1,4096,"None",128,"Local 1",4033
18646,2786,"dfsioe_read","ETH","RL2",8,10,3,65536,"None",64,"Azure L",3239
18454,2634,"kmeans","ETH","RL2",10,10,1,65536,"ZLIB",256,"Azure L",1369
18701,4866,"dfsioe_write","ETH","RL2",8,10,3,65536,"BZIP2",32,"Azure L",2565
4172,2279,"terasort","ETH","RL3",8,10,1,65536,"ZLIB",64,"Azure L",2249
68,658,"terasort","IB","SSD",24,5,1,65536,"None",0,"Local 1",655
905,1050,"terasort","ETH","SSD",12,10,1,32768,"None",256,"Local 1",1069
21935,2597,"kmeans","ETH","RL1",10,10,2,65536,"BZIP2",64,"Azure L",2790
18345,1288,"dfsioe_write","ETH","RL2",8,10,1,65536,"BZIP2",64,"Azure L",1330
18893,2650,"kmeans","ETH","RL1",8,10,1,65536,"None",256,"Azure L",2572
1237,4066,"terasort","IB","HDD",12,10,3,4096,"None",32,"Local 1",3984
958,1084,"terasort","ETH","SSD",12,5,3,4096,"None",32,"Local 1",1076
18501,651,"sort","ETH","RL2",10,10,1,65536,"Snappy",64,"Azure L",606
1301,4299,"terasort","ETH","HDD",12,20,3,4096,"None",32,"Local 1",5266
266,3612,"dfsioe_read","ETH","SSD",12,10,1,65536,"None",64,"Local 1",3345
21965,2600,"kmeans","ETH","RL1",10,10,2,65536,"Snappy",64,"Azure L",2788
143,944,"sort","ETH","HDD",12,10,1,65536,"ZLIB",0,"Local 1",3363
1157,4509,"terasort","IB","HDD",12,20,1,32768,"None",32,"Local 1",3984
1505,981,"wordcount","IB","HDD",12,10,1,4096,"None",128,"Local 1",879
18584,726,"sort","ETH","RL2",10,10,2,65536,"BZIP2",64,"Azure L",678
869,962,"terasort","IB","SSD",12,20,3,65536,"None",256,"Local 1",977
