"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Pred.Exe.Time"
22227,1340,"wordcount","ETH","RR3",8,10,1,65536,"None",32,"Azure L",1308
22224,6771,"sort","ETH","RR3",8,10,1,65536,"None",64,"Azure L",6603
22222,2846,"kmeans","ETH","RR3",8,10,1,65536,"None",64,"Azure L",3090
22221,4443,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",2718
22220,2649,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",2895
22219,2836,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",2804
22218,870,"sort","ETH","RL1",10,10,3,65536,"Snappy",256,"Azure L",729
22213,2922,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L",2804
22211,2581,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",128,"Azure L",2788
22210,4378,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",4117
22208,2847,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2804
22206,1269,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",1292
22205,2618,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2788
22204,4188,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",4117
22203,3062,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",2895
22201,786,"sort","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",766
22199,2749,"kmeans","ETH","RL1",10,10,3,65536,"Snappy",32,"Azure L",2742
22198,4260,"dfsioe_write","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",4117
22197,3061,"dfsioe_read","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2895
22196,2919,"pagerank","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",2804
22194,1272,"wordcount","ETH","RL1",10,10,3,65536,"Snappy",64,"Azure L",1292
22190,2881,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",256,"Azure L",2697
22186,3917,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L",4237
22184,2840,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L",2986
22182,1293,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L",1334
22181,2555,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",128,"Azure L",2639
22179,3006,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",3011
22178,2869,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",2986
22177,821,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",688
22176,1268,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",1334
22173,3004,"dfsioe_read","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",3011
22172,2776,"pagerank","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",2986
22171,864,"sort","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",731
22170,1285,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",1334
22169,2746,"kmeans","ETH","RL1",10,10,3,65536,"BZIP2",32,"Azure L",3002
22168,4318,"dfsioe_write","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",4237
22165,793,"sort","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",688
22164,1267,"wordcount","ETH","RL1",10,10,3,65536,"BZIP2",64,"Azure L",1334
22162,4251,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",4004
22161,2682,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",2983
22160,2894,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",2854
22159,858,"sort","ETH","RL1",10,10,3,65536,"ZLIB",256,"Azure L",801
22155,2725,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",3087.5
22154,2820,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",2854
22151,2553,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",128,"Azure L",3018
22150,4370,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",2732
22149,2929,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",3087.5
22147,789,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",677
22144,4321,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",2732
22143,2926,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",3087.5
22141,846,"sort","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",735
22139,2750,"kmeans","ETH","RL1",10,10,3,65536,"ZLIB",32,"Azure L",3018
22138,4497,"dfsioe_write","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",2732
22137,2983,"dfsioe_read","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",3087.5
22136,2907,"pagerank","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",2854
22135,773,"sort","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",677
22134,1277,"wordcount","ETH","RL1",10,10,3,65536,"ZLIB",64,"Azure L",1266
22131,2805,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",256,"Azure L",3003
22128,1396,"wordcount","ETH","RL1",10,10,3,65536,"None",256,"Azure L",1282
22125,2740,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",128,"Azure L",3003
22123,860,"sort","ETH","RL1",10,10,3,65536,"None",128,"Azure L",770
22122,1295,"wordcount","ETH","RL1",10,10,3,65536,"None",128,"Azure L",1282
22121,2555,"kmeans","ETH","RL1",10,10,3,65536,"None",128,"Azure L",2596
22120,4249,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L",4289
22118,2821,"pagerank","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2696
22115,2604,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2596
22114,4452,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",32,"Azure L",4289
22113,3223,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",32,"Azure L",2883
22112,2785,"pagerank","ETH","RL1",10,10,3,65536,"None",32,"Azure L",2696
22111,863,"sort","ETH","RL1",10,10,3,65536,"None",32,"Azure L",770
22109,2749,"kmeans","ETH","RL1",10,10,3,65536,"None",32,"Azure L",2596
22108,4203,"dfsioe_write","ETH","RL1",10,10,3,65536,"None",64,"Azure L",4289
22107,2810,"dfsioe_read","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2883
22104,1270,"wordcount","ETH","RL1",10,10,3,65536,"None",64,"Azure L",1282
22103,2618,"kmeans","ETH","RL1",10,10,3,65536,"None",64,"Azure L",2596
22102,4065,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2678
22101,2854,"dfsioe_read","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2895
22098,1253,"wordcount","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",1245
22097,2727,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",256,"Azure L",2788
22096,4424,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L",4117
22091,2196,"kmeans","ETH","RL1",8,10,3,65536,"Snappy",128,"Azure L",2788
22088,2667,"pagerank","ETH","RL1",8,10,3,65536,"Snappy",64,"Azure L",2804
22084,4414,"dfsioe_write","ETH","RL1",8,10,3,65536,"Snappy",32,"Azure L",4117
