"","ID","Benchmark","Exe Time","Exec Conf","Running Cost $","Net","Disk","Maps","IO SFac","Rep","IO FBuf","Comp","Blk size","Cluster","Histogram","PARAVER","End time"
"5086","5086","kmeans","679","20150105_165351_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z128_S8_al-14/kmeans","0.50","ETH","RL2","10","10","2","65536","None","128","al-14","20150105_165351_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z128_S8_al-14/kmeans","5086","20150105171811"
"5084","5084","pagerank","2328","20150105_161426_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z64_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","BZIP2","64","al-15","20150105_161426_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z64_S8_al-15/pagerank","5084","20150105171156"
"5081","5081","dfsioe_read","3731","20150105_135356_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","2.76","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_135356_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","5081","20150105153750"
"5080","5080","pagerank","2001","20150105_130120_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/pagerank","1.48","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_130120_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/pagerank","5080","20150105135010"
"5078","5078","pagerank","2498","20150105_122404_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z32_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","BZIP2","32","al-15","20150105_122404_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z32_S8_al-15/pagerank","5078","20150105132522"
"5076","5076","kmeans","1335","20150105_112718_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/kmeans","0.99","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_112718_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/kmeans","5076","20150105120150"
"5069","5069","kmeans","2324","20150105_091817_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z32_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","BZIP2","32","al-15","20150105_091817_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z32_S8_al-15/kmeans","5069","20150105100836"
"5068","5068","kmeans","1374","20150105_090105_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z32_S8_al-14/kmeans","1.02","ETH","RL2","10","10","2","65536","None","32","al-14","20150105_090105_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z32_S8_al-14/kmeans","5068","20150105093645"
"5066","5066","pagerank","2434","20150105_075249_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z64_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","BZIP2","64","al-15","20150105_075249_conf_ETH_HDD_b_m8_i10_r2_I65536_c2_z64_S8_al-15/pagerank","5066","20150105085214"
"5064","5064","dfsioe_read","3847","20150105_061208_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","2.85","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_061208_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/dfsioe_read","5064","20150105075153"
"5061","5061","pagerank","2062","20150105_051844_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/pagerank","1.53","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_051844_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/pagerank","5061","20150105060829"
"5059","5059","pagerank","2288","20150105_044514_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","256","al-15","20150105_044514_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_S8_al-15/pagerank","5059","20150105054148"
"5058","5058","kmeans","1325","20150105_041515_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/kmeans","0.98","ETH","RL2","10","10","2","65536","None","64","al-14","20150105_041515_conf_ETH_RL2_b_m10_i10_r2_I65536_c0_z64_S8_al-14/kmeans","5058","20150105044925"
"5053","5053","dfsioe_read","3797","20150105_011242_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/dfsioe_read","2.81","ETH","RL2","6","10","2","65536","Snappy","256","al-14","20150105_011242_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/dfsioe_read","5053","20150105025203"
"5054","5054","kmeans","2644","20150105_013432_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","256","al-15","20150105_013432_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z256_S8_al-15/kmeans","5054","20150105022955"
"5051","5051","pagerank","1986","20150105_002108_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/pagerank","1.47","ETH","RL2","6","10","2","65536","Snappy","256","al-14","20150105_002108_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/pagerank","5051","20150105010915"
"5048","5048","dfsioe_read","7059","20150104_220742_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-15","20150104_220742_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/dfsioe_read","5048","20150105003258"
"5047","5047","kmeans","1813","20150104_214236_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/kmeans","1.34","ETH","RL2","6","10","2","65536","Snappy","256","al-14","20150104_214236_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z256_S8_al-14/kmeans","5047","20150104222522"
"5046","5046","pagerank","2403","20150104_210509_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/pagerank","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-15","20150104_210509_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/pagerank","5046","20150104220421"
"5045","5045","pagerank","1898","20150104_202827_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/pagerank","1.40","ETH","RL2","6","10","2","65536","Snappy","128","al-14","20150104_202827_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/pagerank","5045","20150104211536"
"5040","5040","kmeans","2029","20150104_180336_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/kmeans","0.00","ETH","HDD","8","10","2","65536","ZLIB","128","al-15","20150104_180336_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z128_S8_al-15/kmeans","5040","20150104184939"
"5039","5039","kmeans","1708","20150104_175607_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/kmeans","1.26","ETH","RL2","6","10","2","65536","Snappy","128","al-14","20150104_175607_conf_ETH_RL2_b_m6_i10_r2_I65536_c3_z128_S8_al-14/kmeans","5039","20150104183717"
"5037","5037","dfsioe_read","5546","20150104_152158_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/dfsioe_read","0.00","ETH","HDD","8","10","2","65536","ZLIB","64","al-15","20150104_152158_conf_ETH_HDD_b_m8_i10_r2_I65536_c1_z64_S8_al-15/dfsioe_read","5037","20150104172124"
