"ID","Exe.Time","Benchmark","Net","Disk","Maps","IO.SFac","Rep","IO.FBuf","Comp","Blk.size","Cluster","Cl.Name","Datanodes","Headnodes","VM.OS","VM.Cores","VM.RAM","Provider","VM.Size","Type"
1,104,"prep_terasort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
2,472,"terasort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
3,1310,"kmeans","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
4,269,"prep_kmeans","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
5,404,"prep_wordcount","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
6,1364,"wordcount","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
7,317,"prep_sort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
8,913,"sort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
9,1405,"pagerank","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
10,415,"prep_pagerank","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
11,119,"prep_terasort","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
12,541,"terasort","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
13,1481,"kmeans","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
14,292,"prep_kmeans","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
15,407,"prep_wordcount","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
16,1430,"wordcount","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
17,317,"prep_sort","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
18,999,"sort","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
20,453,"prep_pagerank","ETH","HDD",8,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
21,113,"prep_terasort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
22,508,"terasort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
25,1368,"wordcount","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
26,320,"prep_sort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
27,949,"sort","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
28,1431,"pagerank","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
29,419,"prep_pagerank","ETH","HDD",8,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
30,122,"prep_terasort","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
31,565,"terasort","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
32,1185,"kmeans","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
33,294,"prep_kmeans","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
34,411,"prep_wordcount","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
35,1360,"wordcount","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
36,1415,"pagerank","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
37,417,"prep_pagerank","ETH","HDD",8,10,1,65536,"Cmp0",128,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
38,122,"prep_terasort","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
39,569,"terasort","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
40,1570,"kmeans","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
41,307,"prep_kmeans","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
42,423,"prep_wordcount","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
43,1339,"wordcount","ETH","HDD",8,10,1,65536,"Cmp0",256,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
212,134,"prep_terasort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
213,520,"terasort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
216,545,"prep_wordcount","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
217,1655,"wordcount","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
218,423,"prep_sort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
219,852,"sort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
220,1424,"pagerank","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
221,424,"prep_pagerank","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
222,2419,"dfsioe_read","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
223,915,"dfsioe_write","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
224,647,"prep_dfsioe","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
225,1823,"kmeans","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
226,306,"prep_kmeans","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
227,549,"prep_wordcount","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
228,1749,"wordcount","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
229,428,"prep_sort","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
230,802,"sort","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
231,1456,"pagerank","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
232,425,"prep_pagerank","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
233,2636,"dfsioe_read","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
234,803,"dfsioe_write","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
235,555,"prep_dfsioe","ETH","HDD",6,10,1,65536,"Cmp0",32,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
236,121,"prep_terasort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
237,585,"terasort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
238,1705,"kmeans","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
239,290,"prep_kmeans","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
240,547,"prep_wordcount","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
241,1650,"wordcount","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
242,422,"prep_sort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
243,767,"sort","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
244,1474,"pagerank","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
245,422,"prep_pagerank","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
246,2770,"dfsioe_read","ETH","HDD",6,10,1,65536,"Cmp0",64,"Cl3","al-03",8,1,"linux",8,56,"azure","A7","IaaS"
