ID,Benchmark,Exe.Time,Running.Cost,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,End.time
22228,sort,6603,12.84,ETH,RR3,8,10,1,65536,None,32,Azure L,20140725063440
22227,wordcount,1340,2.61,ETH,RR3,8,10,1,65536,None,32,Azure L,20140725043227
22226,kmeans,3090,6.01,ETH,RR3,8,10,1,65536,None,32,Azure L,20140725035428
22225,pagerank,6896,13.41,ETH,RR3,8,10,1,65536,None,64,Azure L,20140725021620
22224,sort,6771,13.17,ETH,RR3,8,10,1,65536,None,64,Azure L,20140724235841
22223,wordcount,1308,2.54,ETH,RR3,8,10,1,65536,None,64,Azure L,20140724212652
22222,kmeans,2846,5.53,ETH,RR3,8,10,1,65536,None,64,Azure L,20140724204929
22221,dfsioe_write,4443,8.64,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724194737
22220,dfsioe_read,2649,5.15,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724183222
22219,pagerank,2836,5.51,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724162633
22218,sort,870,1.69,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724151723
22217,wordcount,1401,2.72,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724145058
22216,kmeans,2598,5.05,ETH,RL1,10,10,3,65536,Snappy,256,Azure L,20140724141340
22215,dfsioe_write,4063,7.9,ETH,RL1,10,10,3,65536,Snappy,128,Azure L,20140724131600
22214,dfsioe_read,2945,5.73,ETH,RL1,10,10,3,65536,Snappy,128,Azure L,20140724120702
22213,pagerank,2922,5.68,ETH,RL1,10,10,3,65536,Snappy,128,Azure L,20140724095538
22212,sort,809,1.57,ETH,RL1,10,10,3,65536,Snappy,128,Azure L,20140724084455
22211,kmeans,2581,5.02,ETH,RL1,10,10,3,65536,Snappy,128,Azure L,20140724080451
22210,dfsioe_write,4378,8.51,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724070704
22209,dfsioe_read,2869,5.58,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724055247
22208,pagerank,2847,5.54,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724034358
22207,sort,766,1.49,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724023432
22206,wordcount,1269,2.47,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724020946
22205,kmeans,2618,5.09,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140724013431
22204,dfsioe_write,4188,8.14,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140724003601
22203,dfsioe_read,3062,5.95,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140723232440
22202,pagerank,2804,5.45,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140723211019
22201,sort,786,1.53,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140723200144
22200,wordcount,1277,2.48,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140723193629
22199,kmeans,2749,5.35,ETH,RL1,10,10,3,65536,Snappy,32,Azure L,20140723190053
22198,dfsioe_write,4260,8.28,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723180046
22197,dfsioe_read,3061,5.95,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723164824
22196,pagerank,2919,5.68,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723143611
22195,sort,781,1.52,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723132545
22194,wordcount,1272,2.47,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723130035
22193,kmeans,2598,5.05,ETH,RL1,10,10,3,65536,Snappy,64,Azure L,20140723122514
22192,dfsioe_write,4028,7.83,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723112728
22191,dfsioe_read,2841,5.52,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723101909
22190,pagerank,2881,5.6,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723080826
22189,sort,855,1.66,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723065842
22188,wordcount,1392,2.71,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723063215
22187,kmeans,2577,5.01,ETH,RL1,10,10,3,65536,BZIP2,256,Azure L,20140723055516
22186,dfsioe_write,3917,7.62,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140723045804
22185,dfsioe_read,2691,5.23,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140723035133
22184,pagerank,2840,5.52,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140723014446
22183,sort,797,1.55,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140723003540
22182,wordcount,1293,2.51,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140723001023
22181,kmeans,2555,4.97,ETH,RL1,10,10,3,65536,BZIP2,128,Azure L,20140722233501
22180,dfsioe_write,4306,8.37,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722223740
22179,dfsioe_read,3006,5.85,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722212432
22178,pagerank,2869,5.58,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722191132
22177,sort,821,1.6,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722180155
22176,wordcount,1268,2.47,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722173608
22175,kmeans,2606,5.07,ETH,RL1,10,10,3,65536,BZIP2,64,Azure L,20140722170100
22174,dfsioe_write,4237,8.24,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722160231
22173,dfsioe_read,3004,5.84,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722145020
22172,pagerank,2776,5.4,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722123611
22171,sort,864,1.68,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722112758
22170,wordcount,1285,2.5,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722110135
22169,kmeans,2746,5.34,ETH,RL1,10,10,3,65536,BZIP2,32,Azure L,20140722102547
