ID,Benchmark,Exe.Time,Running.Cost,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,End.time
5086,kmeans,679,0.5,ETH,RL2,10,10,2,65536,None,128,al-14,20150105171811
5084,pagerank,2328,0,ETH,HDD,8,10,2,65536,BZIP2,64,al-15,20150105171156
5081,dfsioe_read,3731,2.76,ETH,RL2,10,10,2,65536,None,64,al-14,20150105153750
5080,pagerank,2001,1.48,ETH,RL2,10,10,2,65536,None,64,al-14,20150105135010
5078,pagerank,2498,0,ETH,HDD,8,10,2,65536,BZIP2,32,al-15,20150105132522
5076,kmeans,1335,0.99,ETH,RL2,10,10,2,65536,None,64,al-14,20150105120150
5069,kmeans,2324,0,ETH,HDD,8,10,2,65536,BZIP2,32,al-15,20150105100836
5068,kmeans,1374,1.02,ETH,RL2,10,10,2,65536,None,32,al-14,20150105093645
5066,pagerank,2434,0,ETH,HDD,8,10,2,65536,BZIP2,64,al-15,20150105085214
5064,dfsioe_read,3847,2.85,ETH,RL2,10,10,2,65536,None,64,al-14,20150105075153
5061,pagerank,2062,1.53,ETH,RL2,10,10,2,65536,None,64,al-14,20150105060829
5059,pagerank,2288,0,ETH,HDD,8,10,2,65536,ZLIB,256,al-15,20150105054148
5058,kmeans,1325,0.98,ETH,RL2,10,10,2,65536,None,64,al-14,20150105044925
5053,dfsioe_read,3797,2.81,ETH,RL2,6,10,2,65536,Snappy,256,al-14,20150105025203
5054,kmeans,2644,0,ETH,HDD,8,10,2,65536,ZLIB,256,al-15,20150105022955
5051,pagerank,1986,1.47,ETH,RL2,6,10,2,65536,Snappy,256,al-14,20150105010915
5048,dfsioe_read,7059,0,ETH,HDD,8,10,2,65536,ZLIB,128,al-15,20150105003258
5047,kmeans,1813,1.34,ETH,RL2,6,10,2,65536,Snappy,256,al-14,20150104222522
5046,pagerank,2403,0,ETH,HDD,8,10,2,65536,ZLIB,128,al-15,20150104220421
5045,pagerank,1898,1.4,ETH,RL2,6,10,2,65536,Snappy,128,al-14,20150104211536
5040,kmeans,2029,0,ETH,HDD,8,10,2,65536,ZLIB,128,al-15,20150104184939
5039,kmeans,1708,1.26,ETH,RL2,6,10,2,65536,Snappy,128,al-14,20150104183717
5037,dfsioe_read,5546,0,ETH,HDD,8,10,2,65536,ZLIB,64,al-15,20150104172124
5036,dfsioe_read,3907,2.89,ETH,RL2,6,10,2,65536,Snappy,64,al-14,20150104164656
5034,pagerank,1905,1.41,ETH,RL2,6,10,2,65536,Snappy,64,al-14,20150104145744
5028,dfsioe_read,4605,0,ETH,HDD,8,10,2,65536,ZLIB,32,al-15,20150104125955
5030,kmeans,1739,1.29,ETH,RL2,6,10,2,65536,Snappy,64,al-14,20150104125257
5025,pagerank,2454,0,ETH,HDD,8,10,2,65536,ZLIB,32,al-15,20150104110954
5022,kmeans,1730,1.28,ETH,RL2,6,10,2,65536,Snappy,64,al-14,20150104090104
5018,kmeans,2293,0,ETH,HDD,8,10,2,65536,ZLIB,32,al-15,20150104075938
5014,pagerank,2298,0,ETH,HDD,8,10,2,65536,ZLIB,64,al-15,20150104061941
5012,dfsioe_read,3730,2.76,ETH,RL2,6,10,2,65536,BZIP2,128,al-14,20150104054948
5010,pagerank,2701,2,ETH,RL2,6,10,2,65536,BZIP2,128,al-14,20150104040811
5008,kmeans,2306,0,ETH,HDD,8,10,2,65536,ZLIB,64,al-15,20150104030951
5004,dfsioe_read,6429,0,ETH,HDD,8,10,2,65536,None,256,al-15,20150104011727
5005,dfsioe_read,3862,2.86,ETH,RL2,6,10,2,65536,BZIP2,64,al-14,20150104005247
5003,pagerank,1874,1.39,ETH,RL2,6,10,2,65536,BZIP2,64,al-14,20150103230656
5002,pagerank,2279,0,ETH,HDD,8,10,2,65536,None,256,al-15,20150103225900
4996,kmeans,1733,1.28,ETH,RL2,6,10,2,65536,BZIP2,64,al-14,20150103203605
4992,dfsioe_read,5982,0,ETH,HDD,8,10,2,65536,None,128,al-15,20150103192206
4993,kmeans,1858,1.37,ETH,RL2,6,10,2,65536,BZIP2,32,al-14,20150103181803
4985,dfsioe_read,3807,2.82,ETH,RL2,6,10,2,65536,ZLIB,256,al-14,20150103151248
4986,kmeans,2446,0,ETH,HDD,8,10,2,65536,None,128,al-15,20150103143451
4980,dfsioe_read,5952,0,ETH,HDD,8,10,2,65536,None,64,al-15,20150103123805
4979,dfsioe_read,3691,2.73,ETH,RL2,6,10,2,65536,ZLIB,128,al-14,20150103111235
4976,kmeans,2310,0,ETH,HDD,8,10,2,65536,None,64,al-15,20150103090620
4974,kmeans,1643,1.22,ETH,RL2,6,10,2,65536,ZLIB,128,al-14,20150103073725
4972,dfsioe_read,4556,0,ETH,HDD,8,10,2,65536,None,32,al-15,20150103073519
4970,dfsioe_read,3958,2.93,ETH,RL2,6,10,2,65536,ZLIB,64,al-14,20150103055214
4971,pagerank,2281,0,ETH,HDD,8,10,2,65536,None,32,al-15,20150103054908
4965,kmeans,1735,1.28,ETH,RL2,6,10,2,65536,ZLIB,64,al-14,20150103024724
4964,kmeans,2298,0,ETH,HDD,8,10,2,65536,None,32,al-15,20150103023713
4959,dfsioe_read,6337,0,ETH,HDD,8,10,2,65536,None,64,al-15,20150103004035
4955,kmeans,1537,0,ETH,HDD,8,10,2,65536,None,64,al-15,20150102212503
4951,dfsioe_read,4231,0,ETH,HDD,4,10,1,65536,Snappy,256,al-15,20150102201558
4952,kmeans,1816,1.34,ETH,RL2,6,10,2,65536,None,256,al-14,20150102194225
4949,pagerank,2651,0,ETH,HDD,4,10,1,65536,Snappy,256,al-15,20150102184513
4948,pagerank,2046,1.51,ETH,RL2,6,10,2,65536,None,128,al-14,20150102183036
4946,kmeans,1154,0.85,ETH,RL2,6,10,2,65536,None,128,al-14,20150102171946
4942,dfsioe_read,3797,2.81,ETH,RL2,6,10,2,65536,None,64,al-14,20150102155233
4941,pagerank,2605,0,ETH,HDD,4,10,1,65536,Snappy,128,al-15,20150102144930
4940,pagerank,1988,1.47,ETH,RL2,6,10,2,65536,None,64,al-14,20150102140243
4933,kmeans,2549,0,ETH,HDD,4,10,1,65536,Snappy,128,al-15,20150102113455
4934,kmeans,1906,1.41,ETH,RL2,6,10,2,65536,None,64,al-14,20150102113305
4931,pagerank,1889,1.4,ETH,RL2,6,10,2,65536,None,32,al-14,20150102102324
4926,kmeans,2368,0,ETH,HDD,4,10,1,65536,Snappy,64,al-15,20150102082734
4927,kmeans,1856,1.37,ETH,RL2,6,10,2,65536,None,32,al-14,20150102082734
4923,dfsioe_read,3040,2.25,ETH,RL2,6,10,2,65536,None,64,al-14,20150102064636
4922,dfsioe_read,4116,0,ETH,HDD,4,10,1,65536,Snappy,32,al-15,20150102064022
4921,pagerank,1848,1.37,ETH,RL2,6,10,2,65536,None,64,al-14,20150102052504
4918,kmeans,2606,0,ETH,HDD,4,10,1,65536,Snappy,32,al-15,20150102033720
4913,dfsioe_read,4257,0,ETH,HDD,4,10,1,65536,Snappy,64,al-15,20150102014825
4914,kmeans,1641,1.21,ETH,RL2,8,10,2,65536,Snappy,256,al-14,20150102012628
4910,pagerank,2059,1.52,ETH,RL2,8,10,2,65536,Snappy,128,al-14,20150102002034
4905,dfsioe_read,4206,0,ETH,HDD,4,10,1,65536,BZIP2,256,al-15,20150101215629
4904,dfsioe_read,3580,2.65,ETH,RL2,8,10,2,65536,Snappy,64,al-14,20150101211529
4903,pagerank,2667,0,ETH,HDD,4,10,1,65536,BZIP2,256,al-15,20150101202604
4902,pagerank,2026,1.5,ETH,RL2,8,10,2,65536,Snappy,64,al-14,20150101194521
4896,dfsioe_read,3572,2.64,ETH,RL2,8,10,2,65536,Snappy,32,al-14,20150101174116
4897,kmeans,1598,0,ETH,HDD,4,10,1,65536,BZIP2,256,al-15,20150101171555
4892,dfsioe_read,4107,0,ETH,HDD,4,10,1,65536,BZIP2,128,al-15,20150101154903
4890,pagerank,2606,0,ETH,HDD,4,10,1,65536,BZIP2,128,al-15,20150101142108
4887,dfsioe_read,3654,2.7,ETH,RL2,8,10,2,65536,Snappy,64,al-14,20150101132724
4884,pagerank,1938,1.43,ETH,RL2,8,10,2,65536,Snappy,64,al-14,20150101115534
4881,dfsioe_read,3720,0,ETH,HDD,4,10,1,65536,BZIP2,64,al-15,20150101111635
4879,dfsioe_read,3991,2.95,ETH,RL2,8,10,2,65536,BZIP2,256,al-14,20150101094553
4878,kmeans,2377,0,ETH,HDD,4,10,1,65536,BZIP2,64,al-15,20150101082442
4877,pagerank,1828,1.35,ETH,RL2,8,10,2,65536,BZIP2,256,al-14,20150101080849
4875,kmeans,1629,1.21,ETH,RL2,8,10,2,65536,BZIP2,256,al-14,20150101065902
4874,dfsioe_read,4889,0,ETH,HDD,4,10,1,65536,BZIP2,32,al-15,20150101063527
4871,pagerank,2597,0,ETH,HDD,4,10,1,65536,BZIP2,32,al-15,20150101045345
4872,kmeans,1465,1.08,ETH,RL2,8,10,2,65536,BZIP2,128,al-14,20150101044801
4868,dfsioe_read,3371,2.49,ETH,RL2,8,10,2,65536,BZIP2,64,al-14,20150101031414
4864,kmeans,442,0.33,ETH,RL2,8,10,2,65536,BZIP2,64,al-14,20150101004316
4860,dfsioe_read,3411,2.52,ETH,RL2,8,10,2,65536,BZIP2,32,al-14,20141231232305
4858,kmeans,2373,0,ETH,HDD,4,10,1,65536,BZIP2,64,al-15,20141231222645
4853,dfsioe_read,3736,0,ETH,HDD,4,10,1,65536,ZLIB,256,al-15,20141231204535
4855,kmeans,1497,1.11,ETH,RL2,8,10,2,65536,BZIP2,32,al-14,20141231204433
4852,pagerank,2633,0,ETH,HDD,4,10,1,65536,ZLIB,256,al-15,20141231192253
4851,dfsioe_read,3977,2.94,ETH,RL2,8,10,2,65536,BZIP2,64,al-14,20141231192241
4849,pagerank,1929,1.43,ETH,RL2,8,10,2,65536,BZIP2,64,al-14,20141231174348
4847,kmeans,1327,0.98,ETH,RL2,8,10,2,65536,BZIP2,64,al-14,20141231162955
4845,kmeans,2381,0,ETH,HDD,4,10,1,65536,ZLIB,256,al-15,20141231161419
4843,dfsioe_read,3036,2.25,ETH,RL2,8,10,2,65536,ZLIB,256,al-14,20141231151446
4842,dfsioe_read,3730,0,ETH,HDD,4,10,1,65536,ZLIB,128,al-15,20141231143049
4839,pagerank,2617,0,ETH,HDD,4,10,1,65536,ZLIB,128,al-15,20141231130821
4840,kmeans,1644,1.22,ETH,RL2,8,10,2,65536,ZLIB,256,al-14,20141231124902
4832,kmeans,1455,1.08,ETH,RL2,8,10,2,65536,ZLIB,128,al-14,20141231100011
4831,kmeans,2270,0,ETH,HDD,4,10,1,65536,ZLIB,128,al-15,20141231095400
4828,dfsioe_read,4030,2.98,ETH,RL2,8,10,2,65536,ZLIB,64,al-14,20141231082752
4827,dfsioe_read,4494,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231081618
4826,pagerank,1966,1.45,ETH,RL2,8,10,2,65536,ZLIB,64,al-14,20141231064901
4825,pagerank,2590,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231064024
4820,kmeans,2363,0,ETH,HDD,4,10,1,65536,ZLIB,64,al-15,20141231042821
4818,dfsioe_read,2932,2.17,ETH,RL2,8,10,2,65536,ZLIB,32,al-14,20141231035236
4815,dfsioe_read,4233,0,ETH,HDD,4,10,1,65536,ZLIB,32,al-15,20141231024524
