ID,Benchmark,Exe.Time,Net,Disk,Maps,IO.SFac,Rep,IO.FBuf,Comp,Blk.size,Cluster,Cl.Name,Datanodes,Headnodes,VM.OS,VM.Cores,VM.RAM,Provider,VM.Size,Service.Type,Bench.Type
1,terasort,1119.000,IB,SSD,12,10,1,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
2,prep_terasort,197.000,IB,SSD,12,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
3,terasort,1067.000,IB,SSD,12,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
4,terasort,1126.000,IB,SSD,12,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
5,terasort,956.000,IB,SSD,16,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
11,terasort,841.000,IB,SSD,16,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
12,terasort,686.000,IB,SSD,24,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
13,terasort,725.000,IB,SSD,24,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
14,prep_terasort,197.000,IB,SSD,12,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
15,terasort,839.000,IB,SSD,12,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
16,terasort,994.000,IB,SSD,12,10,3,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
17,terasort,811.000,IB,SSD,16,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
18,terasort,874.000,IB,SSD,16,10,3,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
19,terasort,684.000,IB,SSD,24,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
20,terasort,695.000,IB,SSD,24,10,3,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
21,prep_terasort,176.000,ETH,SSD,12,10,1,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
22,terasort,948.000,ETH,SSD,12,10,1,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
23,terasort,1025.000,ETH,SSD,12,10,1,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
24,terasort,955.000,ETH,SSD,16,10,1,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
25,terasort,924.000,ETH,SSD,16,10,1,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
26,terasort,787.000,ETH,SSD,24,10,1,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
27,terasort,822.000,ETH,SSD,24,10,1,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
28,prep_terasort,377.000,ETH,SSD,12,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
29,terasort,969.000,ETH,SSD,12,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
30,terasort,1027.000,ETH,SSD,12,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
31,terasort,877.000,ETH,SSD,16,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
32,terasort,971.000,ETH,SSD,16,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
33,terasort,811.000,ETH,SSD,24,10,2,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
34,terasort,768.000,ETH,SSD,24,10,2,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
35,prep_terasort,685.000,ETH,SSD,12,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
36,terasort,968.000,ETH,SSD,12,10,3,65536,0,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
37,terasort,1005.000,ETH,SSD,12,10,3,65536,1,64,1,m1000-01,3,1,linux,12,128.000,on-premise,SYS-6027R-72RF,On-premise,HiBench
