"Exe.Time","Maps","IO.SFac","Rep","IO.FBuf","Blk.size","bayes","dfsioe_read","dfsioe_write","hivebench_agregation","hivebench_join","kmeans","pagerank","sort","terasort","wordcount","ETH","IB","HDD","R1","R2","R3","RL1","RL2","RL3","rep(0, length(bttaux[, 1]))","RR3","SSD","BZIP2","None","Snappy","ZLIB","Azure.L","Local.1"
"4114",953,12,10,1,65536,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"3794",589,16,10,1,65536,64,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"3468",1022,12,50,1,131072,64,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"2476",6520,12,10,1,65536,64,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"3220",3131,24,10,1,65536,64,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"4347",1266,24,10,1,4096,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"295",2695,10,10,2,65536,32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"3305",2225,12,50,3,32768,32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"638",695,8,10,1,65536,256,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"3511",1116,12,5,1,4096,256,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"3539",962,12,20,3,65536,256,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"1343",827,10,10,3,65536,128,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"3217",3936,12,50,1,32768,32,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"2529",1138,12,10,1,65536,128,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1973",2802,10,10,2,65536,128,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"2674",1432,12,10,3,131072,64,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"902",1277,8,10,3,65536,64,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"3848",468,12,10,1,65536,64,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"4391",881,12,10,3,65536,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"439",2579,8,10,2,65536,64,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
